% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 27 2021, 13:57"
% Table,Table 3 - Abs S (Q_abs)
% alpha (deg),wlength (nm),"theta_i=0.2618, Q_abs (1)","theta_i=0.69813, Q_abs (1)","theta_i=0.75049, Q_abs (1)","theta_i=1.3963, Q_abs (1)"
0,500,0.5462435868962412,0.9651537718340059,1.3185968884822403,0.05764187721924653
0,510.00000000000006,0.5813265453315193,1.0271496502598296,1.4053159946376699,0.061675854478640484
0,520,0.544651808695013,0.9623589145504826,1.3185862327894735,0.05815717139430952
0,530,0.442691045932481,0.7822066267457576,1.0731740870967605,0.04759275463194839
0,540.0000000000001,0.33976113981948014,0.6003366025804301,0.8246433422236815,0.03677750431046067
0,550,0.2593290385496512,0.4582170610763205,0.6301338859172888,0.028262654911305935
0,560.0000000000001,0.19783643337439724,0.3495627629411391,0.48123716160960284,0.021707548908958287
0,570,0.15060449804668047,0.26610655890652124,0.36673174901586036,0.016637849047543073
0,580,0.11503460091778839,0.2032566707016556,0.280404446537867,0.012796684480568128
0,590,0.08915079335159727,0.15752166972195766,0.21753010026905606,0.009988127278108874
0,600,0.07050841319179396,0.12458188664103886,0.17221322622032548,0.007957406517186115
