% Model,Mie_chafa.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 19 2022, 20:09"
% Table,Table 1 - Global Evaluation 1 (sigma_ext /C_geo)
% t_PML (nm),lambda0 (nm),sigma_ext /C_geo (1)
25.499999999999996,509.99999999999994,0.17384729858676334
50.99999999999999,509.99999999999994,0.1748815929336289
76.5,509.99999999999994,0.17486989374058134
101.99999999999999,509.99999999999994,0.17485382398725746
127.49999999999999,509.99999999999994,0.17484318149479858
152.99999999999997,509.99999999999994,0.1748432911038775
178.5,509.99999999999994,0.1748650081762355
203.99999999999997,509.99999999999994,0.17485127207600434
229.49999999999997,509.99999999999994,0.17486324260570513
254.99999999999997,509.99999999999994,0.17483925669029102
