% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 08:33"
% Table,"Table: Table 1 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.2618, Q_abs (1)","theta_i=0.2618, Q_ext (1)","theta_i=0.66323, Q_sca (1)","theta_i=0.66323, Q_abs (1)","theta_i=0.66323, Q_ext (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.73304, Q_ext (1)","theta_i=1.309, Q_sca (1)","theta_i=1.309, Q_abs (1)","theta_i=1.309, Q_ext (1)"
400,0.016358000523048016,0.9726530240735283,0.9890110245965763,0.015489244241841085,0.9979082371801826,1.0133974814220237,0.035893546115064595,2.3911376407242866,2.427031186839351,0.005131261486278,0.327125849256757,0.332257110743035
405,0.015706220882235524,0.9609152642543846,0.9766214851366201,0.014843234923640947,0.9852588086778028,1.0001020436014438,0.034354474423297844,2.3604768963161367,2.3948313707394346,0.004904381658017655,0.3229705173717844,0.32787489902980205
410,0.014957372418987399,0.9506448945176811,0.9656022669366685,0.014094667308788281,0.9741750261249585,0.9882696934337468,0.03258702437982177,2.333435058373543,2.3660220827533647,0.00465151328457204,0.319307391835223,0.323958905119795
415,0.014376649362639757,0.939994028892786,0.9543706782554258,0.01356574006984966,0.9628223123700141,0.9763880524398638,0.031375366842270894,2.3059684633432305,2.3373438301855014,0.004485632274089889,0.31553932215428293,0.3200249544283728
419.99999999999994,0.013734288518389953,0.9277458928131929,0.9414801813315828,0.01293918768248701,0.9502032644637755,0.9631424521462625,0.029847176718113898,2.2758585777988407,2.305705754516955,0.004275666522201916,0.3112859260965274,0.3155615926187293
424.99999999999994,0.013058344828193454,0.9160063978138808,0.9290647426420743,0.012303433005928743,0.9381601605207653,0.9504635935266941,0.0284433359405122,2.247149993426915,2.275593329367427,0.004066391860222555,0.30720644045708123,0.3112728323173038
429.99999999999994,0.012606869324085446,0.9071341637244933,0.9197410330485787,0.011836744879289368,0.9291701276224283,0.9410068725017177,0.027265475913153793,2.2257880311629625,2.253053507076116,0.00390842753004542,0.3041135399020393,0.30802196743208476
434.99999999999994,0.01195201307545938,0.9029008130030515,0.9148528260785108,0.011243385902681433,0.9249132673016388,0.9361566532043203,0.02599496625083962,2.2158183094858472,2.241813275736687,0.0037233598607342732,0.3026082621312324,0.3063316219919667
439.99999999999994,0.011556234176611226,0.9027696997972555,0.9143259339738667,0.010854454690250613,0.9249768829835746,0.9358313376738252,0.025142025567882826,2.2162906509208136,2.2414326764886963,0.003643536364983805,0.30250333357227643,0.30614686993726026
445,0.011140903879310722,0.9047459304461091,0.9158868343254198,0.01045274146150299,0.9272993312076495,0.9377520726691525,0.024115966405804313,2.222326428866214,2.2464423952720183,0.0034649542926342186,0.3031275537129202,0.30659250800555443
450,0.010767233299144707,0.9065174331957621,0.9172846664949068,0.01013233515154975,0.9296636526818558,0.9397959878334056,0.023315801320919906,2.2287397897165406,2.2520555910374607,0.003327509444619137,0.30370937517997865,0.3070368846245978
455,0.010328599126646628,0.9056587746511577,0.9159873737778044,0.009686806278020151,0.9297379261554287,0.9394247324334488,0.022337376124159522,2.2300913860487133,2.252428762172873,0.0032049830872961597,0.30345422432929475,0.3066592074165909
460,0.009968296560530197,0.9032448904122958,0.913213186972826,0.009346628541436542,0.9285264598587881,0.9378730884002247,0.021564031175133915,2.2286337563506784,2.250197787525812,0.003114335771649457,0.3027062588775456,0.30582059464919503
465,0.00950074309809115,0.9017429274451626,0.9112436705432537,0.00890913568437742,0.9284106351373496,0.937319770821727,0.020542543302103162,2.2299436849415004,2.2504862282436036,0.002946511600478573,0.3022819151196541,0.3052284267201327
470,0.009117352936337858,0.9040094029250408,0.9131267558613787,0.008569106568026948,0.9321391458860819,0.9407082524541088,0.019768678744605257,2.2405029658490596,2.260271644593665,0.002843950099584192,0.3031341451468111,0.3059780952463953
474.99999999999994,0.008919978433960621,0.9131432790308146,0.9220632574647752,0.008386960093207994,0.9429642991743328,0.9513512592675407,0.01932010448070242,2.2682249047279206,2.287545009208623,0.0027858688491189713,0.3063264430972093,0.30911231194632827
480,0.008821884597831741,0.9313161275231668,0.9401380121209986,0.008269968626292399,0.9627362087488901,0.9710061773751825,0.01914104951999774,2.31687594954431,2.3360169990643076,0.002760291200803286,0.3125203369429208,0.3152806281437241
484.99999999999994,0.008832789414614786,0.9609170338599802,0.9697498232745949,0.00826241617784288,0.9937713904678025,1.0020338066456453,0.01906043563783657,2.392242598616936,2.4113030342547725,0.002761214180790423,0.32252986089703106,0.3252910750778215
490,0.009207478393713513,1.003649144938941,1.0128566233326546,0.0085866390607052,1.0372919891528956,1.0458786282136008,0.01962453486541709,2.4964873387936426,2.5161118736590597,0.0028226888346241943,0.33686334033731363,0.33968602917193785
494.99999999999994,0.009850295733450521,1.0631826729929599,1.0730329687264104,0.009090910107566358,1.095989406285338,1.1050803163929044,0.020777584739316304,2.63503943821477,2.6558170229540865,0.0030200167628206477,0.3566447316148356,0.3596647483776563
500,0.01090211429863047,1.1424221675344433,1.1533242818330738,0.01001117804380002,1.1708851298259375,1.1808963078697374,0.022891597925167564,2.8084737407946285,2.831365338719796,0.0033893198343243553,0.38265004094914645,0.3860393607834708
505,0.012408956326296842,1.24174157238881,1.254150528715107,0.01120454777279704,1.2594842162500406,1.2706887640228377,0.025356216265893697,3.0074604656644137,3.0328166819303073,0.003830273622794063,0.414636857726283,0.4184671313490771
