% Model,Supported-Internal-Embedded.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 25 2022, 11:43"
% Dimension,1
% Nodes,204
% Expressions,1
% Description,Radiation pattern
% theta,r
0,1.3812749474397774
0.12566370614359174,1.3855359802327125
0.25132741228718347,1.3982392180599847
0.37699111843077515,1.418854889257679
0.5026548245743669,1.4465395858306112
0.6283185307179586,1.4801941257253652
0.7539822368615503,1.5185469965408331
0.8796459430051421,1.5602597058365584
1.0053096491487339,1.6040429071451037
1.1309733552923256,1.6487657402440787
1.2566370614359172,1.6935386824485013
1.382300767579509,1.7377539505037356
1.5079644737231006,1.781076216650322
1.6336281798666925,1.8233871751511384
1.7592918860102842,1.8646968111049431
1.8849555921538756,1.9050395886023668
2.0106192982974678,1.944374576876715
2.1362830044410597,1.9825058082104365
2.261946710584651,2.0190345575377937
2.3876104167282426,2.0533499438202054
2.5132741228718345,2.0846586900449635
2.6389378290154264,2.1120492059240332
2.764601535159018,2.1345799978737636
2.8902652413026093,2.1513788989518847
3.015928947446201,2.1617386780683536
3.141592653589793,2.1651962062140693
3.267256359733385,2.161585528653907
3.3929200658769765,2.151058708035846
3.5185837720205684,2.1340716059176223
3.6442474781641603,2.1113351763130503
3.7699111843077513,2.0837369678810123
3.895574890451343,2.0522423748143255
4.0212385965949355,2.017789658440178
4.1469023027385274,1.9811951471828417
4.272566008882119,1.9430840321587897
4.39822971502571,1.9038579008513625
4.523893421169302,1.8637039738148928
4.649557127312894,1.822644579761404
4.775220833456485,1.7806196305521167
4.900884539600077,1.7375898226415523
5.026548245743669,1.6936440609651973
5.15221195188726,1.6490920080439027
5.277875658030853,1.6045232242820782
5.403539364174444,1.5608193099243663
5.529203070318036,1.5191145467429679
5.654866776461628,1.4807115766519305
5.780530482605219,1.4469681462975592
5.906194188748811,1.419175640311498
6.031857894892402,1.3984486507032843
6.157521601035994,1.3856384288249244
6.283185307179586,1.3812749474397774
0,0.829261265993903
0.12566370614359174,0.8344435110785016
0.25132741228718347,0.8497356255216728
0.37699111843077515,0.8745585788944105
0.5026548245743669,0.9079543232375212
0.6283185307179586,0.9485858270055549
0.7539822368615503,0.9947626143184272
0.8796459430051421,1.0445087871224055
1.0053096491487339,1.0956790252067905
1.1309733552923256,1.1461116251163348
1.2566370614359172,1.1937935370981139
1.382300767579509,1.237006774471764
1.5079644737231006,1.2744305676004302
1.6336281798666925,1.3051867937477206
1.7592918860102842,1.3288323078332633
1.8849555921538756,1.3453151636146101
2.0106192982974678,1.3549181951051628
2.1362830044410597,1.3582113736081927
2.261946710584651,1.3560246900701687
2.3876104167282426,1.3494390309996243
2.5132741228718345,1.3397780006876419
2.6389378290154264,1.3285739720300793
2.764601535159018,1.317481762368955
2.8902652413026093,1.3081265756996712
3.015928947446201,1.3018984500169704
3.141592653589793,1.299735563575627
3.267256359733385,1.301958398161258
3.3929200658769765,1.3082107893743904
3.5185837720205684,1.317529560469553
