% Model,Supported-Internal-Embedded.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 25 2022, 11:39"
% Table,"Table: Table 1 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.2618, Q_abs (1)","theta_i=0.2618, Q_ext (1)","theta_i=0.66323, Q_sca (1)","theta_i=0.66323, Q_abs (1)","theta_i=0.66323, Q_ext (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.73304, Q_ext (1)","theta_i=1.309, Q_sca (1)","theta_i=1.309, Q_abs (1)","theta_i=1.309, Q_ext (1)"
400,0.027482001957923392,1.3768677861930323,1.4043497881509557,0.014578099482099288,1.0053898589013177,1.019967958383417,0.01638184328466389,1.843428943766847,1.8598107870515108,0.007559089362982451,0.4972600091785765,0.5048190985415589
410,0.025220166009899604,1.3513393971987324,1.376559563208632,0.013319375069941014,0.9837196182329446,0.9970389933028856,0.014864148363510006,1.803168421110778,1.8180325694742878,0.006864936040576568,0.48356623602076454,0.4904311720613411
419.99999999999994,0.02301734021862722,1.3223558461189249,1.345373186337552,0.012092462249515204,0.9600825985504016,0.9721750607999168,0.013468049572502507,1.759655384053271,1.7731234336257735,0.006220158619004818,0.4691305823728382,0.47535074099184305
429.99999999999994,0.020947922241272187,1.2949306446766593,1.3158785669179316,0.0109601111973957,0.9380850614990622,0.9490451726964579,0.012113970385558722,1.719673240296596,1.7317872106821546,0.0056233300329228695,0.455742550307188,0.4613658803401109
439.99999999999994,0.019412443592550236,1.2884274060524137,1.307839849644964,0.010099591409199981,0.9316627031403701,0.9417622945495702,0.011140070305990402,1.708588793699432,1.7197288640054222,0.005173781060381486,0.4501771731920448,0.4553509542524263
450,0.01804754954084218,1.29080745577156,1.3088550053124022,0.009352125322601379,0.9321067337201351,0.9414588590427364,0.010290743330552719,1.7106749055588557,1.7209656488894085,0.004787133419555362,0.44803189920947406,0.45281903262902945
460,0.01653472896401823,1.2806658784547005,1.2972006074187188,0.008537382381755838,0.9239849999199321,0.9325223823016879,0.009366663651507201,1.6975808676192408,1.706947531270748,0.004371639136157954,0.4417698612624298,0.44614150039858774
470,0.015218104725164555,1.2742812249344222,1.2894993296595867,0.007841574521194624,0.9189402828239968,0.9267818573451914,0.008569009647029977,1.6906091954440619,1.6991782050910917,0.004005869120183589,0.4370716087410001,0.4410774778611837
480,0.014610992240320912,1.3036936318392423,1.318304624079563,0.0075171106241859525,0.9399656040603772,0.9474827146845631,0.00823001503385987,1.7320797001803676,1.7403097152142275,0.003822518729821715,0.44490631906848294,0.44872883779830464
490,0.015300024929692426,1.3959707198152358,1.4112707447449282,0.007863072593012544,1.0068028516524636,1.014665924245476,0.008597813770505955,1.8587102949949406,1.8673081087654466,0.003961907620681607,0.47435977485252645,0.47832168247320805
500,0.018376665897426273,1.5905051824521146,1.6088818483495408,0.009400345295690598,1.1467476794090465,1.156148024704737,0.010319155696326797,2.119965300711889,2.1302844564082157,0.004796141220867326,0.5383730746868042,0.5431692159076715
505,0.021438176331834577,1.7425386100080178,1.7639767863398523,0.010981538167016462,1.2551425074152847,1.266124045582301,0.011987295147938745,2.3200393850724383,2.3320266802203773,0.005554022069059631,0.5885872613629951,0.5941412834320547
507.49999999999994,0.023472957422039965,1.8332208679779993,1.8566938254000394,0.011998366426428056,1.3192115612860351,1.3312099277124632,0.013079658460562475,2.4371669444853907,2.450246602945953,0.0061238128880746956,0.6184577231854052,0.6245815360734799
