% Model,Supported-Internal-m25.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 08:02"
% Table,"Table: Table 1 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.2618, Q_abs (1)","theta_i=0.2618, Q_ext (1)","theta_i=0.66323, Q_sca (1)","theta_i=0.66323, Q_abs (1)","theta_i=0.66323, Q_ext (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.73304, Q_ext (1)","theta_i=1.309, Q_sca (1)","theta_i=1.309, Q_abs (1)","theta_i=1.309, Q_ext (1)"
400,0.019859504189891658,1.1147024737061728,1.1345619778960645,0.013643867835483159,0.9539588089604544,0.9676026767959376,0.025115760252667662,2.064025291474163,2.0891410517268305,0.005584315597230602,0.3639870563106866,0.3695713719079172
405,0.01899061872005555,1.101943297095278,1.1209339158153335,0.013056620388277066,0.9423048468886581,0.9553614672769352,0.02397403335144096,2.0382739576676974,2.0622479910191385,0.005317692158980522,0.35922174240810956,0.3645394345670901
410,0.018160495539312524,1.0905976522072387,1.1087581477465511,0.01244217756764002,0.9320161008324281,0.9444582784000681,0.022900536913476554,2.0155577729230734,2.03845830983655,0.00510152723065452,0.35496692866144874,0.3600684558921033
415,0.017396367051821886,1.0785676756228038,1.0959640426746255,0.011919210332827699,0.9212697891242733,0.933188999457101,0.02183745559646769,1.992011208839681,2.0138486644361486,0.004862264821123998,0.35052739498218033,0.35538965980330434
419.99999999999994,0.016623187223311766,1.0649889233056045,1.0816121105289163,0.011406002439955886,0.9094897619313145,0.9208957643712704,0.020895129979860483,1.9665657731669066,1.9874609031467672,0.004642011810256646,0.345623175710553,0.35026518752080965
424.99999999999994,0.015798597337556838,1.0515432174812238,1.0673418148187805,0.010804797256635844,0.8978532019183781,0.908657999175014,0.01981443275516721,1.9415783916041223,1.9613928243592895,0.004409163867686923,0.3408204007967785,0.3452295646644654
429.99999999999994,0.015102137703408106,1.0412755142054013,1.0563776519088095,0.010337381466025461,0.889078949244302,0.8994163307103274,0.01897888891055977,1.9228317349595834,1.9418106238701431,0.004219975916594801,0.3370778928775592,0.34129786879415397
434.99999999999994,0.014519753404831415,1.036387948836711,1.0509077022415423,0.009934543760355994,0.8849198526881646,0.8948543964485206,0.018183411401828584,1.9141147543593378,1.9322981657611664,0.004032103661774537,0.3351207782343176,0.3391528818960921
439.99999999999994,0.01404949878601118,1.0360676291927178,1.050117127978729,0.009627202465344948,0.8847924382530605,0.8944196407184055,0.01763208152027181,1.9143609085341375,1.9319929900544093,0.003904712838353337,0.33469672099690606,0.3386014338352594
445,0.01357834611382069,1.0380609272270218,1.0516392733408424,0.009293257917029257,0.8866608483221493,0.8959541062391786,0.017009094356611854,1.918888403645726,1.935897498002338,0.0037436256705712227,0.3350225864494683,0.33876621212003954
450,0.013121503029221214,1.0393769031928957,1.0524984062221168,0.008972055618398507,0.888318364966978,0.8972904205853766,0.01635328139991807,1.9234101793754876,1.9397634607754057,0.003621133509222165,0.3351946701575344,0.33881580366675657
455,0.01252963908864534,1.0378406993990599,1.0503703384877052,0.008549245603940473,0.8878052205898368,0.8963544661937772,0.015627487829661252,1.9236598666544296,1.9392873544840907,0.0034805730135518604,0.3344806994337734,0.33796127244732527
460,0.012008316265721432,1.0339970365705364,1.0460053528362578,0.008179318667850198,0.8856825377796582,0.8938618564475084,0.014994361378678468,1.9208124626127987,1.9358068239914772,0.0033138868991939127,0.33306846249475214,0.33638234939394607
465,0.011495915277574006,1.0315391016248494,1.0430350169024234,0.007859501685248137,0.8847732483729256,0.8926327500581738,0.014398975167217108,1.920614267202593,1.93501324236981,0.0031777131725101333,0.3321120302280897,0.33528974340059986
470,0.011053019080675483,1.0331061906102372,1.0441592096909127,0.007540660711099028,0.8873904333592503,0.8949310940703493,0.013833339170620244,1.9282750382579068,1.942108377428527,0.00305972946997837,0.33249763379739056,0.3355573632673689
474.99999999999994,0.010753344670371126,1.042140013139829,1.0528933578102002,0.00738083648232831,0.8964227201798175,0.9038035566621458,0.013617682384373305,1.949796637405314,1.9634143197896872,0.0030025593856677956,0.3353051407095898,0.33830770009525757
480,0.010630401429925851,1.062103145392728,1.072733546822654,0.007273879565845704,0.914709254316786,0.9219831338826316,0.013353426652963546,1.9913341907334718,2.0046876173864354,0.0029455835245403017,0.34165487843506515,0.3446004619596055
484.99999999999994,0.010797184906902941,1.0946237932000236,1.1054209781069264,0.007385346689383717,0.9432344404047822,0.950619787094166,0.013534950587049404,2.0543032980500326,2.067838248637082,0.002977649086101401,0.351976398582859,0.3549540476689604
490,0.01116724973091517,1.1427827474742684,1.1539499972051837,0.0076254001636374205,0.984361959414028,0.9919873595776655,0.013924982501116626,2.1437579370110376,2.1576829195121543,0.0030560775007849204,0.36726925447885367,0.3703253319796386
494.99999999999994,0.011961353127096973,1.2106751072108723,1.2226364603379694,0.008145035009089573,1.0408375899570617,1.0489826249661511,0.01488768440401497,2.2645350819495644,2.2794227663535795,0.0032916603534200927,0.3887321525903275,0.3920238129437476
500,0.013273705841974369,1.30291633766503,1.3161900435070042,0.008962787069055567,1.114501648189172,1.1234644352582277,0.016167011380978265,2.4179521764653615,2.4341191878463397,0.003655889016426227,0.41757911211998283,0.42123500113640905
505,0.015309994117523519,1.4211990100576566,1.43650900417518,0.010157802411860142,1.2048664624995824,1.2150242649114424,0.018077555491760558,2.600355345816888,2.6184329013086485,0.0041755134657461505,0.4540935975773517,0.4582691110430978
