% Model,Supported-Internal-m25.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 23 2022, 23:19"
% Dimension,3
% Nodes,30771
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
8.326672684688674E-17,-6.31935727955376,-9.06182667958323,1.3955521527643004
5.551115123125783E-17,-6.4929156797765994,-9.21320916618407,1.3557320210099104
4.163336342344337E-17,-6.436949179726957,-8.995659296071283,1.383063704937533
0,-7.321622813208252,-9.93603068540563,1.1667946948793029
-2.7755575615628914E-17,-7.668739613653933,-10.238795658607307,1.088689900670274
-2.7755575615628914E-17,-7.551638603061342,-9.795251258542727,1.1567228342325917
2.7755575615628914E-17,-7.116019212806383,-8.613555705228215,1.3593561103417033
0,-7.286546145706185,-8.759984697560949,1.3206535766741248
-1.3877787807814457E-17,-7.228443102486273,-8.538943661877264,1.3553352723824685
2.7755575615628914E-17,-7.151622783684143,-8.842563522206033,1.3265403297779905
-1.1262941542591431E-15,-6.131259805103604,-7.76795715192037,1.5855702240172342
-1.2694227540763621E-15,-6.910415612404509,-7.2910807250508,1.5634740120376802
-5.551115123125783E-17,-8.10077862050916,-9.459154258536064,1.1384718547665638
-1.3877787807814457E-17,-7.8776688941555735,-8.108073825844098,1.3352738687461527
0,-8.178048696910755,-9.92707688102791,1.0755921621104363
-1.3877787807814457E-17,-7.916303932356372,-8.34203513709002,1.3016294948595886
-9.767339081082525E-16,-5.317091745899268,-8.187622673760837,1.6714430845521384
-2.7755575615628914E-17,-8.323888346862745,-10.810234691228025,0.9545517956741302
-1.4061197075599098E-15,-7.6545591678019855,-6.756993393152131,1.5542236857003222
-5.551115123125783E-17,-3.6089462550709692,-11.628528383576953,1.2194156123789714
2.7755575615628914E-17,-3.864514551807008,-11.062122316945976,1.280947633559272
-5.551115123125783E-17,-3.435545103113454,-11.119516636285002,1.2937719421747673
2.7755575615628914E-17,-3.8496810980582303,-9.726773513935454,1.5342871950754138
1.3877787807814457E-17,-3.9376227919460147,-10.050748002366069,1.448054490147253
-2.7755575615628914E-17,-4.0805220001945095,-9.649124172359603,1.529816085340366
-2.7755575615628914E-17,-3.983244181201612,-9.485638100542449,1.5821965893761152
-6.631554094090609E-16,-3.6100499064752145,-8.84225109514079,1.7660659835741002
2.7755575615628914E-17,-3.1071248075957887,-9.748797189496806,1.6015603161146585
2.7755575615628914E-17,-3.2070843485463634,-9.920579887554005,1.549891522603272
-8.219344530661916E-16,-4.474402761887234,-8.546616672185362,1.7576264115117937
-5.551115123125783E-17,-3.687059893984948,-10.752859716864991,1.3129308134877171
0,-3.4872926203201473,-10.411358771876914,1.4173334105363302
0,-4.707338978230174,-9.408747985116243,1.5277230501010524
5.551115123125783E-17,-4.09053015822874,-10.614860868359393,1.3285015711307384
0,-4.837698860660319,-9.159118735770543,1.5736089880911328
0,-4.353520619811736,-10.11732460173186,1.4135162987683856
-5.003967771368602E-16,-2.724033179663208,-9.074525942627128,1.7804746498548423
0,-2.963373073139617,-9.765502450087151,1.6159866565281957
-2.7755575615628914E-17,-3.0322415768328166,-9.962357090282225,1.5601516034588254
0,-3.2005476153285097,-10.447182762415625,1.4351107096493434
2.7755575615628914E-17,-3.3379635213874117,-10.83905271161245,1.3223478958045223
2.7755575615628914E-17,-4.823678084599931,-9.469213753476206,1.4871282689209986
-2.7755575615628914E-17,-4.330264423300592,-10.750804833191573,1.2990214014318044
2.7755575615628914E-17,-4.898938390429892,-9.27373287369202,1.5180620560359352
5.551115123125783E-17,-4.480785034960516,-10.359843073623203,1.3564925475017522
