% Model,Supported-Internal-p25.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 25 2022, 10:50"
% Table,"Table: Table 1 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),"theta_i=0.2618, Q_sca (1)","theta_i=0.2618, Q_abs (1)","theta_i=0.2618, Q_ext (1)","theta_i=0.66323, Q_sca (1)","theta_i=0.66323, Q_abs (1)","theta_i=0.66323, Q_ext (1)","theta_i=0.73304, Q_sca (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.73304, Q_ext (1)","theta_i=1.309, Q_sca (1)","theta_i=1.309, Q_abs (1)","theta_i=1.309, Q_ext (1)"
400,0.013220710851702417,0.8249968887855456,0.838217599637248,0.018590537639904238,1.0630088058613925,1.0815993435012967,0.05023757884960125,2.7841458103424914,2.8343833891920927,0.004821324081210111,0.293110805871546,0.2979321299527561
410,0.01213627446058069,0.8056536503546978,0.8177899248152786,0.016955665705502387,1.0371872352585354,1.0541429009640377,0.04570097208358867,2.716164637500692,2.7618656095842806,0.004412957951245062,0.286465993268325,0.2908789512195701
419.99999999999994,0.01105164607589897,0.7859048066931957,0.7969564527690947,0.015461331887635066,1.0113601072554983,1.0268214391431334,0.04170322386447564,2.648645717295092,2.6903489411595674,0.004025973191145088,0.2796919924861494,0.28371796567729446
429.99999999999994,0.010016036388140396,0.7685025245159252,0.7785185609040656,0.013994752275498401,0.9889417295467291,1.0029364818222275,0.037778673383253865,2.5903170558019997,2.6280957291852536,0.0036703822208334776,0.2737646817410516,0.2774350639618851
439.99999999999994,0.009291116647390706,0.7653294434063601,0.7746205600537508,0.01293863546142785,0.9849871221239659,0.9979257575853937,0.03488061946356586,2.580453295902286,2.615333915365852,0.003405360286886151,0.27295857348105584,0.276363933767942
450,0.008701517169103407,0.769043115769402,0.7777446329385054,0.01210641112421102,0.9904194562579086,1.0025258673821196,0.03257207003074016,2.595526982600146,2.6280990526308865,0.0031600975840990297,0.27466186000248094,0.27782195758657996
460,0.008046493279848611,0.7676965687398277,0.7757430620196764,0.011140402814587683,0.9903789169591831,1.0015193197737708,0.030009973460485048,2.597148651247709,2.6271586247081937,0.0029279625168673025,0.27461256315433613,0.2775405256712034
470,0.007398356378645887,0.7702226341579272,0.7776209905365732,0.010266405074800712,0.9958928174714802,1.006159222546281,0.02761909516374494,2.6136876347792604,2.6413067299430053,0.0027150020102522927,0.2759922325873745,0.27870723459762675
480,0.007039606414827065,0.7953170427984297,0.8023566492132568,0.009760267289226654,1.0300785012700948,1.0398387685593216,0.026267971711425538,2.70524101590922,2.7315089876206455,0.0025740769344929112,0.2855148392189521,0.288088916153445
490,0.007355529319096089,0.8581638869597183,0.8655194162788145,0.010109265938063168,1.1109039118629698,1.121013177801033,0.027144064977985775,2.917536771705373,2.944680836683359,0.002678057751403116,0.30854984049235185,0.31122789824375496
500,0.008609713272142121,0.9731943859448042,0.9818040992169463,0.011630253195497636,1.2507788652667593,1.262409118462257,0.0311127947458264,3.278686871685855,3.3097996664316813,0.0031095898864765157,0.3499024555242146,0.35301204541069114
505,0.009771065297902436,1.052051188741839,1.0618222540397413,0.012987988698035404,1.3401305553719205,1.3531185440699558,0.03455436241388472,3.503910463953923,3.538464826367808,0.0034951246832380057,0.37762822557541187,0.38112335025864985
507.49999999999994,0.010520643840853347,1.0941778469591927,1.1046984908000461,0.013932348297212136,1.385181420862934,1.3991137691601463,0.03700039157431114,3.61502252798976,3.652022919564071,0.0037727964821014258,0.3921928193474293,0.3959656158295307
509.99999999999994,0.011245032904644065,1.136708863529406,1.14795389643405,0.014783306185593582,1.4282853588747897,1.4430686650603832,0.03917523424973586,3.718981328744253,3.758156562993989,0.004065526956526683,0.4066500659307561,0.41071559288728277
512.5,0.012276120267052111,1.1769339245945944,1.1892100448616465,0.01596465494029756,1.4657118150261288,1.4816764699664264,0.0421164478251132,3.806051264950457,3.8481677127755702,0.004400264286941143,0.41999578998564774,0.42439605427258886
515,0.013213186253865724,1.2128974285227827,1.2261106147766485,0.016824497761729364,1.4955677580675826,1.512392255829312,0.044312416932373415,3.8711321263586287,3.915444543291002,0.004721080151916581,0.43152546961299315,0.43624654976490973
517.5,0.01426390629174321,1.2417870708760428,1.256050977167786,0.017926301195313164,1.514250626290758,1.5321769274860713,0.046741970696007135,3.9055962507580215,3.9523382214540286,0.004926947001182824,0.44022731923483405,0.4451542662360169
519.9999999999999,0.015209845802586462,1.2600252054911225,1.275235051293709,0.01896023569131138,1.5188904633810105,1.537850699072322,0.049353789047471695,3.902386646844702,3.951740435892174,0.0053417942808368195,0.44492319831681754,0.45026499259765435
522.5,0.01599229912456932,1.266222408306296,1.2822147074308654,0.019772022347594728,1.508769300346022,1.5285413226936169,0.05135578179458887,3.861101328135269,3.9124571099298575,0.0056127980471067165,0.44526088647453005,0.4508736845216368
525,0.016694870696428606,1.2584622349306274,1.2751571056270559,0.020445157507615233,1.4831906070460699,1.503635764553685,0.05290833200797731,3.7808502324149997,3.8337585644229772,0.005741899038778535,0.4407001034589797,0.44644200249775823
527.5,0.016910567691572048,1.2378146511279156,1.2547252188194875,0.020490707111588263,1.443740823587769,1.4642315306993572,0.05288545569473691,3.6668802443423405,3.7197657000370774,0.0058381418187465955,0.43171507547919574,0.43755321729794233
530,0.01725461629678309,1.2053373253359028,1.2225919416326858,0.020761150454920312,1.3934478933734953,1.4142090438284156,0.05338031796585837,3.5278794599577084,3.5812597779235666,0.00596359091032259,0.4189129646940103,0.4248765556043329
