% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 12 2022, 12:03"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),fact,Q_sca (1),Q_abs (1),Q_ext (1)
543,0.05,0.05662606975515878,2.2096631570004033,2.266289226755562
543,0.1,0.05616833513016488,2.2226802763528055,2.2788486114829705
543,0.15000000000000002,0.0566682965251323,2.2258468976696184,2.2825151941947506
543,0.2,0.056234123690451915,2.2170310786591085,2.2732652023495605
543,0.25,0.05562822983014041,2.2221094521606473,2.2777376819907875
543,0.3,0.056658981630600104,2.218900445117991,2.275559426748591
543,0.35000000000000003,0.05563267053046529,2.218033224849719,2.2736658953801845
543,0.4,0.056823600798458274,2.225482554660347,2.282306155458805
543,0.45,0.0561917537091235,2.2200311383496953,2.276222892058819
543,0.5,0.05575546568223285,2.218736299225823,2.274491764908056
543,0.55,0.05621686755593155,2.224266259240657,2.2804831267965886
543,0.6000000000000001,0.05683016324490655,2.2212426069606037,2.2780727702055104
543,0.6500000000000001,0.05673517374657528,2.2006925539565385,2.2574277277031136
543,0.7000000000000001,0.05674617888336043,2.228436468293903,2.2851826471772636
543,0.7500000000000001,0.05602288255127098,2.2223033569594377,2.278326239510709
543,0.8,0.05628713952015661,2.224345498163272,2.2806326376834285
543,0.8500000000000001,0.05610855389732875,2.2211237087348277,2.2772322626321566
543,0.9000000000000001,0.0567164940724182,2.227173717993055,2.283890212065473
543,0.9500000000000001,0.05664401617071083,2.2141026161382773,2.270746632308988
543,1,0.0561833924941375,2.221261658580162,2.2774450510742996
