% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 24 2022, 13:20"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),d_Matrix (nm),Q_sca (1),Q_abs (1),Q_ext (1)
543,25,0.09807677035667392,2.1618202586973996,2.2598970290540734
543,31.25,0.07335098758989976,2.1933892727376443,2.266740260327544
543,37.5,0.06406654714884914,2.212583694573438,2.276650241722287
543,43.75,0.05919347185278565,2.2173369120621147,2.2765303839149005
543,50,0.059528032157327104,2.1812460739063098,2.240774106063637
543,56.25,0.0576105283736176,2.2269900996045595,2.284600627978177
543,62.5,0.055628229830132186,2.222109452160623,2.277737681990755
543,68.75,0.056278828752143656,2.2224981318841346,2.278776960636278
543,75,0.05671937578274072,2.2122990372954265,2.269018413078167
543,81.25,0.05568406244464792,2.2308536029286388,2.2865376653732867
543,87.5,0.05569829145520361,2.217684542960965,2.2733828344161684
543,93.74999999999999,0.05811573790078317,2.2026348152076207,2.260750553108404
543,100,0.05557970499499003,2.217200568471814,2.2727802734668043
543,106.25,0.05523797885774652,2.2259734646186153,2.2812114434763617
543,112.5,0.055035827789562404,2.236359055594702,2.2913948833842643
543,118.75,0.056100283252476575,2.230445441031359,2.2865457242838354
543,125,0.05618702158931004,2.233486456885585,2.289673478474895
543,131.25,0.05588809242344058,2.222052524053636,2.2779406164770766
543,137.5,0.05598532327592586,2.22481983962779,2.280805162903716
543,143.74999999999997,0.05709134048163803,2.2045493753123493,2.2616407157939875
543,150,0.056311124899833365,2.2233743282461425,2.2796854531459756
543,156.25,0.05587724471178957,2.2215221418716316,2.2773993865834212
543,162.5,0.05646561355989019,2.203280193783897,2.259745807343787
543,168.75,0.055461731132547,2.2246635519971703,2.2801252831297174
543,175,0.05493333290266349,2.219124648098548,2.2740579810012114
543,181.25,0.05600531153080856,2.232493031141131,2.2884983426719394
543,187.49999999999997,0.056091169807021966,2.218087812723169,2.274178982530191
543,193.75,0.05633256795903186,2.227577593855877,2.283910161814909
543,200,0.0560554542958153,2.221160407742294,2.2772158620381093
