% Model,NP_Substrate_analyticFresnel_Internal.mph,,,,
% Version,COMSOL 5.4.0.225,,,,
% Date,"May 28 2021, 13:21",,,,
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,
% theta_i (m),wlength (m),Q_sca theta_i = 15,Q_sca theta_i = 38,Q_sca theta_i = 42,Q_sca theta_i = 80
15,500,0.136031507214906,0.265181285333045,0.852079394356582,-0.019064388637698
15,510,0.150892889364844,0.294596264511438,1.00630674076358,-0.02904725821626
15,520,0.176460195237297,0.331808634581097,1.21780018104977,-0.037888369242028
15,530,0.19697491325521,0.347865338153892,1.34280619398976,-0.039925652825832
15,540,0.205045301878934,0.340777187138291,1.34891001379807,-0.036752026039579
15,550,0.205436272700578,0.325905740903888,1.30228070555349,-0.032088435673051
15,560,0.202851548266742,0.310326585828021,1.24341557085121,-0.027587163930354
15,570,0.198569821997479,0.295097395606716,1.18083650186641,-0.023358842142668
15,580,0.193158366718735,0.281104685702228,1.11931103647692,-0.01958307634094
15,590,0.187082775111918,0.268270862086691,1.06048441936479,-0.016239212077122
15,600,0.181000681953011,0.256771076444522,1.00720702558535,-0.013402221335711
