% Model,Mie (copy).mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 26 2021, 10:59"
% Table,Table 1 - Global Evaluation 1 (sigma_abs/C_geo)
% t_PML (nm),lambda0 (nm),sigma_abs/C_geo - wlength/10,sigma_abs/C_geo (1) - wlength/6,sigma_abs/C_geo (1) - wlength/4
25.499999999999996,509.99999999999994,0.17463778481621042,0.17465211786449464,0.17389053686074338
50.99999999999999,509.99999999999994,0.17465283167872517,0.17467833172851302,0.17466361644287237
76.5,509.99999999999994,0.1746401984185175,0.1746522653568085,0.17466185257101577
101.99999999999999,509.99999999999994,0.1746476836585103,0.17466158231068918,0.1746728895880835
127.49999999999999,509.99999999999994,0.17464680547854397,0.17465898252807477,0.17464811525103438
152.99999999999997,509.99999999999994,0.1746520542085318,0.17465411594267188,0.17464709028554365
178.5,509.99999999999994,0.17466325739084748,0.17464424260903236,0.17465074834354755
203.99999999999997,509.99999999999994,0.17465613623461493,0.1746697040093506,0.17464621814879674
229.49999999999997,509.99999999999994,0.17464449818678562,0.17464475148595246,0.17466190627727787
254.99999999999997,509.99999999999994,0.17465409173670754,0.17466748212658154,0.1746542800446463
