% Model,Mie_chafa.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 19 2022, 18:45"
% Table,Table 1 - Global Evaluation 1 (sigma_ext /C_geo)
% r_PML (nm),lambda0 (nm),sigma_ext /C_geo (1)
25.499999999999996,509.99999999999994,0.1752865341313875
50.99999999999999,509.99999999999994,0.17483108222535285
76.5,509.99999999999994,0.17483800169489205
101.99999999999999,509.99999999999994,0.17484390707964964
127.49999999999999,509.99999999999994,0.1748431814948449
152.99999999999997,509.99999999999994,0.17484438272756564
178.5,509.99999999999994,0.17484695390052918
203.99999999999997,509.99999999999994,0.17485428040906906
229.49999999999997,509.99999999999994,0.17484855707836927
254.99999999999997,509.99999999999994,0.17485084414924604
