% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 28 2021, 10:05"
% Table,"Table 5 - Global Evaluation 5 (Q_sca, Q_abs, Q_ext)"
% alpha (deg),wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
0,500,0.003873870144073039,0.526353278500384,0.5302271486444571
0,510.00000000000006,0.004630042453611423,0.5601578465712178,0.5647878890248292
0,520,0.00528194329734493,0.5248175579330813,0.5300995012304262
0,530,0.005237274085234583,0.42656933705786815,0.4318066111431027
0,540.0000000000001,0.004742497142130316,0.3273878709440149,0.3321303680861452
0,550,0.004161904014236347,0.2498850100312141,0.25404691404545043
0,560.0000000000001,0.0036506047261918293,0.19063180432542387,0.1942824090516157
0,570,0.0032090501171545627,0.14511999251929114,0.1483290426364457
0,580,0.002817283333783994,0.11084558154862895,0.11366286488241294
0,590,0.0024848659924546867,0.08590442806448784,0.08838929405694253
0,600,0.002195734409904831,0.06794096283254566,0.0701366972424505
