% Model,Supported-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 19:35"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.006460942479092673,0.4511266734484558,0.4575876159275485
410,0.005889915415128279,0.43965967570126624,0.4455495911163945
419.99999999999994,0.00539107711570597,0.42858819482829624,0.4339792719440022
429.99999999999994,0.0048866729346226595,0.4195114356383307,0.42439810857295335
439.99999999999994,0.004517983775861747,0.4182521186457146,0.42277010242157637
450,0.00421861814883123,0.42171156339618104,0.4259301815450123
460,0.003890929983751617,0.4238975245190709,0.42778845450282255
470,0.0035943792298535992,0.42904772236208366,0.4326421015919373
480,0.0034501399984994243,0.44576034453361774,0.44921048453211715
490,0.003506646357777317,0.47927509477467917,0.4827817411324565
500,0.003931196830546987,0.5272805138787501,0.5312117107092971
502.5,0.004088770069289857,0.539121175519741,0.5432099455890309
505,0.0042226841328869055,0.5494554957228187,0.5536781798557057
507.49999999999994,0.004475363050013134,0.5570953652179512,0.5615707282679644
509.99999999999994,0.004664335276129512,0.5613660253370669,0.5660303606131964
512.5,0.004854825277599336,0.560778994904672,0.5656338201822713
515,0.005060272801455573,0.5546393539558699,0.5596996267573255
517.5,0.005210605998106551,0.5428815444076383,0.5480921504057448
519.9999999999999,0.0053152230774341355,0.5263077087027138,0.531622931780148
522.5,0.005349522647697784,0.5050125563891436,0.5103620790368414
525,0.005426612051175259,0.48072142192598055,0.48614803397715584
527.5,0.005350413359051647,0.4547269190278902,0.4600773323869418
530,0.005316084206798835,0.42786671052009895,0.4331827947268978
540,0.004760789078908972,0.32833355438678713,0.3330943434656961
550,0.004213044827085493,0.25070363074588553,0.25491667557297104
560,0.0036713886007562944,0.19124005741324795,0.19491144601400426
570,0.003212202438548077,0.1456008164050861,0.14881301884363418
580,0.0028398120776829583,0.11117887597573883,0.11401868805342179
590,0.002510681258130996,0.08611674561958219,0.08862742687771318
600,0.0022274277883957494,0.06816799400864917,0.07039542179704493
