% Model,Embedded-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 20:25"
% Dimension,1
% Nodes,1938
% Expressions,1
% Description,Radiation pattern
% theta,r
0,0.790326640440889
0.12566370614359174,0.7971620510216455
0.25132741228718347,0.8154497982062342
0.37699111843077515,0.8446282096164273
0.5026548245743669,0.8837106976385277
0.6283185307179586,0.9312231644589818
0.7539822368615503,0.9852423854230591
0.8796459430051421,1.0435659102732806
1.0053096491487339,1.1039827217369098
1.1309733552923256,1.164566981038088
1.2566370614359172,1.2239068799449329
1.382300767579509,1.281208679922543
1.5079644737231006,1.3362654831628376
1.6336281798666925,1.3893254550430127
1.7592918860102842,1.4409137740095348
1.8849555921538756,1.4916507431972243
2.0106192982974678,1.5420789937286679
2.1362830044410597,1.5924913038665438
2.261946710584651,1.642757220199901
2.3876104167282426,1.6921779709279656
2.5132741228718345,1.7394272017582688
2.6389378290154264,1.7826295519151902
2.764601535159018,1.8195855323603483
2.8902652413026093,1.8480961889625394
3.015928947446201,1.8663081104595796
3.141592653589793,1.8730013778812378
3.267256359733385,1.8677683682666495
3.3929200658769765,1.8510603811212718
3.5185837720205684,1.824101076398258
3.6442474781641603,1.788682352693848
3.7699111843077513,1.7468762415329586
3.895574890451343,1.7007170369255071
4.0212385965949355,1.6519219816499788
4.1469023027385274,1.601711821846456
4.272566008882119,1.550759021224406
4.39822971502571,1.4992461992751747
4.523893421169302,1.446988048939678
4.649557127312894,1.39357384331091
4.775220833456485,1.3385153407331172
4.900884539600077,1.2814088525996947
5.026548245743669,1.2221185950857942
5.15221195188726,1.1609619036889216
5.277875658030853,1.0988461849306457
5.403539364174444,1.0372974280984588
5.529203070318036,0.9783434408186555
5.654866776461628,0.9242650999034745
5.780530482605219,0.877283062851818
5.906194188748811,0.839277295180442
6.031857894892402,0.8116228483548874
6.157521601035994,0.795169847087367
6.283185307179586,0.7903266404408887
0,0.7781350582891006
0.12566370614359174,0.7850505231414091
0.25132741228718347,0.8025841542701242
0.37699111843077515,0.8301098182885529
0.5026548245743669,0.8665891167151603
0.6283185307179586,0.9105615395436415
0.7539822368615503,0.9602150279672023
0.8796459430051421,1.0135517218455206
1.0053096491487339,1.0686212029444584
1.1309733552923256,1.1237608973891702
1.2566370614359172,1.177776360977812
1.382300767579509,1.2300158282547327
1.5079644737231006,1.2803322393282306
1.6336281798666925,1.3289622184854621
1.7592918860102842,1.3763675596783183
1.8849555921538756,1.4230752630404793
2.0106192982974678,1.4695278617402128
2.1362830044410597,1.515937680326428
2.261946710584651,1.562143246996899
2.3876104167282426,1.607490966152297
2.5132741228718345,1.6507882188307375
2.6389378290154264,1.6903707561291568
2.764601535159018,1.7242928894090261
2.8902652413026093,1.7506037588051917
3.015928947446201,1.767643982952951
3.141592653589793,1.7742963902987796
3.267256359733385,1.7701446200422744
3.3929200658769765,1.7555185893111729
3.5185837720205684,1.7314261574700922
3.6442474781641603,1.6993854634291823
3.7699111843077513,1.6611868213760124
3.895574890451343,1.6186281223359655
4.0212385965949355,1.573277399388977
4.1469023027385274,1.5263106746683346
4.272566008882119,1.478448770563938
4.39822971502571,1.4299838224037216
4.523893421169302,1.380864249326609
4.649557127312894,1.330808337386229
4.775220833456485,1.2794349005707746
4.900884539600077,1.2264147003015586
5.026548245743669,1.1716423448101554
5.15221195188726,1.1154063248667954
5.277875658030853,1.058511502278238
5.403539364174444,1.002303589987501
5.529203070318036,0.94856816561081
5.654866776461628,0.8993200384518412
5.780530482605219,0.8565417308123222
5.906194188748811,0.8219494270705535
6.031857894892402,0.7968485034916519
6.157521601035994,0.7820956339283717
6.283185307179586,0.7781350582891006
0,0.7619915850212292
0.12566370614359174,0.7663280153762816
0.25132741228718347,0.780750484631751
0.37699111843077515,0.804700417294407
0.5026548245743669,0.837214238433776
0.6283185307179586,0.8769413749262305
0.7539822368615503,0.9222216944611371
0.8796459430051421,0.9712361996289863
1.0053096491487339,1.022211302753278
1.1309733552923256,1.073628615162152
1.2566370614359172,1.12438386758662
1.382300767579509,1.173854076766804
1.5079644737231006,1.221862963983941
1.6336281798666925,1.2685657090316547
1.7592918860102842,1.3142916648915652
1.8849555921538756,1.359382469710702
2.0106192982974678,1.404048726000674
2.1362830044410597,1.448253504804545
2.261946710584651,1.4916258933779412
2.3876104167282426,1.5334135153626198
2.5132741228718345,1.572490247969167
2.6389378290154264,1.6074331845170347
2.764601535159018,1.6366681953186726
2.8902652413026093,1.6586636167345397
3.015928947446201,1.6721375272592296
3.141592653589793,1.6762413082823044
3.267256359733385,1.6706885062705925
3.3929200658769765,1.6558078270571832
3.5185837720205684,1.6325091386093533
3.6442474781641603,1.6021626027547677
3.7699111843077513,1.5664060130450703
3.895574890451343,1.5269133859420747
4.0212385965949355,1.4851721159889135
4.1469023027385274,1.442316631939144
4.272566008882119,1.3990486181626756
4.39822971502571,1.3556447868492336
4.523893421169302,1.3120294582106342
4.649557127312894,1.2678836832945493
4.775220833456485,1.2227734164938822
4.900884539600077,1.1762919913345053
5.026548245743669,1.1282133585168652
5.15221195188726,1.0786405337373666
5.277875658030853,1.0281186447866202
5.403539364174444,0.9776771524585833
5.529203070318036,0.9287782734848282
5.654866776461628,0.8831750271323903
5.780530482605219,0.8427111942968251
5.906194188748811,0.8091134037326191
6.031857894892402,0.7838239249810552
6.157521601035994,0.7679020207056285
6.283185307179586,0.7619915850212291
0,0.74647702801126
0.12566370614359174,0.7510828818285641
0.25132741228718347,0.7648185049898701
0.37699111843077515,0.787133337833961
0.5026548245743669,0.8171157876595572
0.6283185307179586,0.8535175289564677
0.7539822368615503,0.8948285739449657
0.8796459430051421,0.9394126793964003
1.0053096491487339,0.9856859858449574
1.1309733552923256,1.032298927894289
1.2566370614359172,1.0782743948062243
1.382300767579509,1.1230674398695144
1.5079644737231006,1.1665371372763804
1.6336281798666925,1.208847044954474
1.7592918860102842,1.2503256719536215
