% Model,Embedded-Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 19:36"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.029863532368630225,1.4644797621282704,1.4943432944969006
410,0.0274450373120943,1.4382088760107814,1.4656539133228756
419.99999999999994,0.025072330931096527,1.4082417029302983,1.4333140338613948
429.99999999999994,0.02280953174712136,1.3797731956398307,1.402582727386952
439.99999999999994,0.02116041653478722,1.37353798341584,1.3946983999506273
450,0.01971408934283512,1.3765626895410124,1.3962767788838475
460,0.018057158141268286,1.3662871297841155,1.3843442879253838
470,0.016593613317653192,1.359936286462842,1.3765298997804951
480,0.015947457004594826,1.3917428407853758,1.4076902977899706
490,0.016734357888018275,1.490542238762556,1.5072765966505743
500,0.020065249823815325,1.6987085145703726,1.718773764394188
509.99999999999994,0.028161331308526803,2.065595603011947,2.093756934320474
519.9999999999999,0.04247800707423311,2.548102001924015,2.590580008998248
519.9999999999999,0.04247800707421932,2.548102001923898,2.5905800089981175
522.5,0.046555233539457605,2.657925492305391,2.704480725844849
525,0.050612108635562585,2.749558312222166,2.8001704208577283
527.5,0.05428068706993465,2.81797763722915,2.8722583242990845
530,0.05727256945204577,2.859092593358768,2.9163651628108136
530,0.05727256945209667,2.8590925933588798,2.9163651628109766
532.4999999999999,0.0600652715983003,2.870991415943991,2.931056687542291
535,0.06199294278298766,2.8531516725199433,2.915144615302931
537.5,0.06315136070431171,2.80926461164513,2.8724159723494416
540,0.0637551187662924,2.741041096189178,2.8047962149554704
540,0.06375511876619801,2.7410410961894445,2.8047962149556427
542.4999999999999,0.06387253716878276,2.6544349919181105,2.718307529086893
545,0.06319404719770239,2.5526514573181465,2.615845504515849
547.5,0.06225316331917267,2.438712077333921,2.5009652406530933
550,0.060840624289135406,2.318834930916244,2.379675555205379
550,0.06084062428921624,2.3188349309161627,2.3796755552053788
552.4999999999999,0.059391399117745027,2.196234836592553,2.255626235710298
555,0.05776760242678199,2.071577115951376,2.129344718378158
557.5,0.05591601191575474,1.9464744364397861,2.002390448355541
560,0.054062666603473905,1.8228873152773069,1.8769499818807807
560,0.05406266660341944,1.8228873152762697,1.876949981879689
570,0.04602357096498347,1.364743306647553,1.4107668776125364
580,0.03805784356678718,0.9955019636027629,1.03355980716955
590,0.031119363814786704,0.7257788715879196,0.7568982354027064
600,0.025541532015589074,0.5389215529849818,0.5644630850005709
