% Model,Embedded-External.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 19:36"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.021039724982186415,1.0327365358317864,1.0537762608139727
410,0.019260696771300934,1.0116728106431554,1.0309335074144563
419.99999999999994,0.017541342600452092,0.9881590011935172,1.0057003437939693
429.99999999999994,0.015962813275935107,0.9657922324028948,0.9817550456788299
439.99999999999994,0.01474371674010172,0.9592707379064892,0.974014454646591
450,0.013732067278900657,0.9593763838224235,0.9731084511013242
460,0.012555218189703335,0.9503368967168548,0.9628921149065581
470,0.011503340655406697,0.9440916005603941,0.9555949412158008
480,0.01105681916270546,0.9642645573417176,0.9753213765044231
490,0.011574301171840485,1.0308202207421668,1.0423945219140074
500,0.013912628626790668,1.1726978987229542,1.186610527349745
509.99999999999994,0.01949940240668059,1.423521638940143,1.4430210413468236
519.9999999999999,0.029412303661300418,1.7534418019828708,1.7828541056441711
519.9999999999999,0.029412303661329242,1.7534418019828966,1.7828541056442258
522.5,0.03234913666974926,1.8281718340979982,1.8605209707677475
525,0.03502285214347623,1.891053447595206,1.9260762997386824
527.5,0.03755916026273896,1.9372264437679816,1.9747856040307206
530,0.03962052559149088,1.9649414232000182,2.004561948791509
530,0.03962052559152243,1.9649414232004854,2.004561948792008
532.4999999999999,0.04149308997000957,1.9728257598583554,2.014318849828365
535,0.0427693450210884,1.9604137073248735,2.0031830523459617
537.5,0.043521252474757854,1.9288536052826082,1.972374857757366
540,0.04387073051782562,1.8816626202189182,1.9255333507367438
540,0.0438707305178776,1.8816626202190352,1.9255333507369128
542.4999999999999,0.0438160728750351,1.8213886239037391,1.8652046967787743
545,0.04340038705919152,1.7513637141091851,1.7947641011683766
547.5,0.042651906419221314,1.6728336900604202,1.7154855964796414
550,0.04180074744194338,1.5906880960927718,1.6324888435347151
550,0.04180074744193946,1.5906880960927816,1.6324888435347211
552.4999999999999,0.040716198974409805,1.505679011634708,1.5463952106091179
555,0.03961987945065799,1.4218849206499586,1.4615048001006166
557.5,0.03833947061547425,1.3342494040040844,1.3725888746195587
560,0.0370136557352171,1.2494823701289213,1.2864960258641385
560,0.03701365573521289,1.249482370129274,1.286496025864487
570,0.03138790180201562,0.9348204616730911,0.9662083634751067
580,0.0259142374800615,0.6812744780202857,0.7071887155003472
590,0.021130431924025046,0.49646154290067984,0.5175919748247049
600,0.01730419831618536,0.3684490369893184,0.38575323530550376
