% Model,Mie_box_Air.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 14 2022, 18:53"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% fact,wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
0.1,508.99999999999994,0.003740536195676426,0.515065024054954,0.5188055602506304
0.15000000000000002,508.99999999999994,0.0037416076476063194,0.5161414075181955,0.5198830151658018
0.2,508.99999999999994,0.003666040442349004,0.5152902359449586,0.5189562763873076
0.25,508.99999999999994,0.0036807961941893556,0.514921978605604,0.5186027747997933
0.30000000000000004,508.99999999999994,0.00374086641751406,0.5150288903691808,0.5187697567866948
0.35,508.99999999999994,0.0037017278449204727,0.5154936952069821,0.5191954230519026
0.4,508.99999999999994,0.003674310248680986,0.5153944777908301,0.5190687880395112
0.45000000000000007,508.99999999999994,0.0036429525902244545,0.5150060122768214,0.5186489648670458
0.5,508.99999999999994,0.0037115815121380384,0.5153960797757571,0.5191076612878951
0.55,508.99999999999994,0.0036986032162895366,0.5150410112304472,0.5187396144467368
0.6,508.99999999999994,0.0036699254324219404,0.5152572949301769,0.5189272203625989
0.65,508.99999999999994,0.0036811432703843707,0.515771926729543,0.5194530699999274
0.7000000000000001,508.99999999999994,0.0036819517528610527,0.5149582034061976,0.5186401551590586
0.75,508.99999999999994,0.0036272570519642337,0.5168896369741077,0.5205168940260719
0.8,508.99999999999994,0.0037094826097600255,0.5152426667556872,0.5189521493654472
0.85,508.99999999999994,0.003709574553702331,0.5162313102301923,0.5199408847838947
0.9,508.99999999999994,0.003665166545635898,0.5148593219171939,0.5185244884628297
0.9500000000000001,508.99999999999994,0.0037152220503858446,0.5154205414222671,0.519135763472653
1,508.99999999999994,0.003654003979943953,0.5101817570662471,0.5138357610461911
