% Model,Supported-Internal-s.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 21:10"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 5 (Q_sca, Q_abs, Q_ext)"
wlength (nm),Q_sca (15),Q_abs (15),Q_ext (15),Q_sca (38),Q_abs (38),Q_ext (38),Q_sca (42),Q_abs (42),Q_ext (42),Q_sca (75),Q_abs (75),Q_ext (75)
400,0.0066954634743056785,0.46819129977741092,0.47488676325171658,0.0066954634743056785,0.46819129977741092,0.47488676325171658,0.0066954634743056785,0.46819129977741092,0.47488676325171658,0.0066954634743056785,0.46819129977741092,0.47488676325171658
410,0.0061186671833820894,0.45627742513081515,0.46239609231419726,0.0061186671833820894,0.45627742513081515,0.46239609231419726,0.0061186671833820894,0.45627742513081515,0.46239609231419726,0.0061186671833820894,0.45627742513081515,0.46239609231419726
419.99999999999994,0.0055970079429000239,0.44478568072517605,0.45038268866807607,0.0055970079429000239,0.44478568072517605,0.45038268866807607,0.0055970079429000239,0.44478568072517605,0.45038268866807607,0.0055970079429000239,0.44478568072517605,0.45038268866807607
429.99999999999994,0.0050717976828858133,0.4353653070888403,0.4404371047717261,0.0050717976828858133,0.4353653070888403,0.4404371047717261,0.0050717976828858133,0.4353653070888403,0.4404371047717261,0.0050717976828858133,0.4353653070888403,0.4404371047717261
439.99999999999994,0.0046888050673245486,0.43406518390469584,0.43875398897202039,0.0046888050673245486,0.43406518390469584,0.43875398897202039,0.0046888050673245486,0.43406518390469584,0.43875398897202039,0.0046888050673245486,0.43406518390469584,0.43875398897202039
450,0.0043800318577269801,0.4376394495482866,0.4420194814060136,0.0043800318577269801,0.4376394495482866,0.4420194814060136,0.0043800318577269801,0.4376394495482866,0.4420194814060136,0.0043800318577269801,0.4376394495482866,0.4420194814060136
460,0.0040374985684588308,0.43991701716542098,0.44395451573387978,0.0040374985684588308,0.43991701716542098,0.44395451573387978,0.0040374985684588308,0.43991701716542098,0.44395451573387978,0.0040374985684588308,0.43991701716542098,0.44395451573387978
470,0.0037446165699272197,0.44525815749250314,0.44900277406243033,0.0037446165699272197,0.44525815749250314,0.44900277406243033,0.0037446165699272197,0.44525815749250314,0.44900277406243033,0.0037446165699272197,0.44525815749250314,0.44900277406243033
480,0.0035826450521813254,0.46260504355079712,0.46618768860297843,0.0035826450521813254,0.46260504355079712,0.46618768860297843,0.0035826450521813254,0.46260504355079712,0.46618768860297843,0.0035826450521813254,0.46260504355079712,0.46618768860297843
490,0.0036200445702214913,0.49748507043574058,0.50110511500596211,0.0036200445702214913,0.49748507043574058,0.50110511500596211,0.0036200445702214913,0.49748507043574058,0.50110511500596211,0.0036200445702214913,0.49748507043574058,0.50110511500596211
500,0.0040583722773589476,0.5471961134131319,0.55125448569049085,0.0040583722773589476,0.5471961134131319,0.55125448569049085,0.0040583722773589476,0.5471961134131319,0.55125448569049085,0.0040583722773589476,0.5471961134131319,0.55125448569049085
502.5,0.0042437847120747867,0.5594878472832554,0.56373163199533016,0.0042437847120747867,0.5594878472832554,0.56373163199533016,0.0042437847120747867,0.5594878472832554,0.56373163199533016,0.0042437847120747867,0.5594878472832554,0.56373163199533016
505,0.0043899015607185201,0.57022548176835752,0.57461538332907602,0.0043899015607185201,0.57022548176835752,0.57461538332907602,0.0043899015607185201,0.57022548176835752,0.57461538332907602,0.0043899015607185201,0.57022548176835752,0.57461538332907602
