% Model,Mie.mph
% Version,COMSOL 5.4.0.225
% Date,"May 14 2021, 13:04"
% Table,"Table 2 - Global Evaluation 2 (sigma_sca /C_geo, sigma_abs/C_geo, sigma_ext /C_geo)"
% wlength (m),lambda0 (nm),sigma_sca /C_geo (1),sigma_abs/C_geo (1),sigma_ext /C_geo (1)
4.0000000000000003E-7,400,1.3720692585859882,1.2226055976013672,2.594674856187355
4.1000000000000004E-7,410,2.1339751379314054,1.1494647914271259,3.283439929358531
4.2000000000000006E-7,420,2.6144079715977546,0.7962308085913277,3.4106387801890823
4.3E-7,429.99999999999994,2.663613725015584,0.9037147955528261,3.5673285205684095
4.4E-7,439.99999999999994,2.149761913738331,1.2128814267614716,3.3626433404998024
4.5000000000000003E-7,450,1.5039365070753083,0.9980206548182612,2.5019571618935696
4.6000000000000004E-7,460,1.3903949100613124,1.249807955131214,2.640202865192526
4.7000000000000005E-7,470,1.2827506042322054,0.6691853212318708,1.9519359254640762
4.800000000000001E-7,480,1.0268213598187037,0.3851141806524052,1.411935540471109
4.900000000000001E-7,490,0.7904289891977107,0.364056039646369,1.1544850288440796
5.000000000000001E-7,500,0.5765269746707539,0.41880272517627365,0.9953296998470276
5.1E-7,509.99999999999994,0.44945983471351736,0.5499886571948684,0.9994484919083858
5.200000000000001E-7,520,0.6000328081523841,0.8666348142130208,1.466667622365405
5.3E-7,530,1.637033353750977,2.076097047219584,3.713130400970561
5.4E-7,540,2.752969100727457,1.6560695709222009,4.4090386716496575
5.5E-7,550,4.30761992508607,0.8769985610728608,5.18461848615893
5.6E-7,560,5.405503017037712,0.5609674097883884,5.966470426826101
5.7E-7,570,5.431921590301107,0.390631481445097,5.822553071746203
5.800000000000001E-7,580,5.030582731900758,0.2874142053650288,5.317996937265786
5.900000000000001E-7,590,4.578885496244783,0.22349396285343825,4.80237945909822
6.0E-7,599.9999999999999,4.19566348331755,0.17841655128974726,4.374080034607298
6.100000000000001E-7,610,3.896663760326038,0.14600120148205098,4.0426649618080885
6.2E-7,619.9999999999999,3.678604388608912,0.12804512403771656,3.8066495126466284
6.3E-7,629.9999999999999,3.547839061865443,0.12249687907923554,3.6703359409446787
6.4E-7,639.9999999999999,3.5160199683935693,0.12542392248511652,3.6414438908786857
6.5E-7,650,3.609139669384421,0.13885883853015268,3.747998507914574
6.6E-7,660,3.871801074206092,0.16758065448085827,4.0393817286869504
6.7E-7,670,4.398354810355064,0.21834449765205285,4.616699308007117
6.800000000000001E-7,680,5.344168917806047,0.30370232515647533,5.647871242962522
6.900000000000001E-7,690,6.879053513384772,0.43646109765201196,7.315514611036784
7.000000000000001E-7,700,8.726345935363334,0.5931203724609893,9.319466307824325
7.1E-7,709.9999999999999,9.199519943189692,0.6399561625852658,9.839476105774958
7.200000000000001E-7,720,7.310698509630846,0.49861513620038295,7.80931364583123
7.3E-7,729.9999999999999,5.019337337969757,0.3249853383825104,5.3443226763522675
7.400000000000001E-7,740,3.4586840949006423,0.20833073679458097,3.6670148316952234
7.5E-7,749.9999999999999,2.517541167232931,0.13906356801366637,2.656604735246597
7.6E-7,759.9999999999999,1.9388072072666238,0.09714523537845514,2.0359524426450792
7.7E-7,770,1.5626166410886893,0.07026843523323534,1.6328850763219245
7.8E-7,780,1.3045314759878774,0.051974584281607436,1.3565060602694847
7.900000000000001E-7,790,1.1186533951502786,0.039175413919704756,1.1578288090699833
8.0E-7,799.9999999999999,0.9789790384435337,0.02992985355553218,1.0089088919990659
