% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 28 2021, 10:07"
% Dimension,1
% Nodes,1111
% Expressions,1
% Description,Radiation pattern
% theta,r
0,3.668922236532399E-10
0.06283185307179587,3.667757000246066E-10
0.12566370614359174,3.663425861656276E-10
0.18849555921538758,3.6555053530954536E-10
0.25132741228718347,3.6433465427561026E-10
0.3141592653589793,3.626143497438591E-10
0.37699111843077515,3.603019872840674E-10
0.43982297150257105,3.573124802652042E-10
0.5026548245743669,3.5357276583917185E-10
0.5654866776461628,3.490300652320525E-10
0.6283185307179586,3.4365790379734696E-10
0.6911503837897545,3.3745911101526784E-10
0.7539822368615503,3.3046543769439297E-10
0.8168140899333463,3.2273398907960003E-10
0.8796459430051421,3.143413109166018E-10
0.9424777960769378,3.0537657867530644E-10
1.0053096491487339,2.9593581055499834E-10
1.0681415022205298,2.861192515394418E-10
1.1309733552923256,2.760340074477899E-10
1.1938052083641213,2.6580365516128853E-10
1.2566370614359172,2.5558595103461677E-10
1.3194689145077132,2.455988453463616E-10
1.382300767579509,2.361534495823117E-10
1.4451326206513047,2.2768960112946358E-10
1.5079644737231006,2.208041173074362E-10
1.5707963267948966,2.1625358248703297E-10
1.6336281798666925,2.14906805261118E-10
1.6964600329384882,2.1762907056044358E-10
1.7592918860102842,2.251140417367302E-10
1.8221237390820801,2.377272249045225E-10
1.8849555921538756,2.554377460652307E-10
1.9477874452256716,2.778630599430522E-10
2.0106192982974678,3.043822631958144E-10
2.0734511513692637,3.342537702776654E-10
2.1362830044410597,3.6670071990271036E-10
2.199114857512855,4.00960039343882E-10
2.261946710584651,4.363059865391928E-10
2.324778563656447,4.720597775962876E-10
2.3876104167282426,5.075929046497982E-10
2.4504422698000385,5.423280066274455E-10
2.5132741228718345,5.757388821615509E-10
2.57610597594363,6.073501462895885E-10
2.6389378290154264,6.367366243388524E-10
2.701769682087222,6.635224851782483E-10
2.764601535159018,6.873801416055995E-10
2.827433388230814,7.08028993215987E-10
2.8902652413026093,7.25234118750834E-10
2.9530970943744057,7.388050308817757E-10
3.015928947446201,7.485945902635066E-10
3.078760800517997,7.544981469867183E-10
3.141592653589793,7.564529469851877E-10
3.204424506661589,7.544378169190002E-10
3.267256359733385,7.484731272681173E-10
3.330088212805181,7.386210280502178E-10
3.3929200658769765,7.249859487511408E-10
3.4557519189487724,7.077153465144658E-10
3.5185837720205684,6.870006695001086E-10
3.581415625092364,6.630784758497624E-10
3.6442474781641603,6.362316192019904E-10
3.707079331235956,6.06790390161582E-10
3.7699111843077513,5.751335018745253E-10
3.8327430373795477,5.416888360837256E-10
3.895574890451343,5.06933924413287E-10
3.9584067435231396,4.713962126674527E-10
4.0212385965949355,4.356531980293923E-10
4.084070449666731,4.0033243712373736E-10
4.1469023027385274,3.6611098896828353E-10
4.209734155810323,3.337127107778897E-10
4.272566008882119,3.038994498582706E-10
4.335397861953915,2.774482779682134E-10
4.39822971502571,2.551027235073601E-10
4.461061568097507,2.374866539697797E-10
4.523893421169302,2.2498467008307037E-10
4.586725274241098,2.1762635601118748E-10
4.649557127312894,2.1504022018376118E-10
4.71238898038469,2.1652275881518925E-10
4.775220833456485,2.2119739045427095E-10
4.838052686528282,2.2818493226448023E-10
4.900884539600077,2.3672080959353045E-10
4.9637163926718735,2.4620323046513736E-10
5.026548245743669,2.561905741136575E-10
5.0893800988154645,2.663730589777155E-10
5.15221195188726,2.7653687326697984E-10
5.215043804959057,2.86530661501869E-10
5.277875658030853,2.962387521159346E-10
5.340707511102648,3.05562571084569E-10
5.403539364174444,3.144101637804016E-10
5.466371217246239,3.2269283161757737E-10
5.529203070318036,3.303272481768285E-10
5.592034923389832,3.3724100944226713E-10
5.654866776461628,3.433794483592775E-10
5.717698629533423,3.487117317293142E-10
5.780530482605219,3.532347126822708E-10
5.843362335677015,3.5697363069209907E-10
5.906194188748811,3.599794076686447E-10
5.969026041820607,3.6232287217114486E-10
6.031857894892402,3.640866803014723E-10
6.094689747964199,3.653559602100051E-10
6.157521601035994,3.6620879283738895E-10
6.220353454107791,3.6670758413612055E-10
6.283185307179586,3.668922236532399E-10
0,3.9933322508539177E-10
0.06283185307179587,3.991284786863459E-10
0.12566370614359174,3.986124602532081E-10
0.18849555921538758,3.977421582135896E-10
0.25132741228718347,3.964487945818308E-10
0.3141592653589793,3.9464514294798887E-10
0.37699111843077515,3.9223486541445095E-10
0.43982297150257105,3.8912291235432506E-10
0.5026548245743669,3.8522585309687637E-10
0.5654866776461628,3.8048094022941385E-10
0.6283185307179586,3.748527974396585E-10
0.6911503837897545,3.683368910629931E-10
0.7539822368615503,3.609594030149138E-10
0.8168140899333463,3.527737335991513E-10
0.8796459430051421,3.438545493328942E-10
0.9424777960769378,3.3429093968263617E-10
