% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 28 2021, 10:08"
% Dimension,1
% Nodes,1111
% Expressions,1
% Description,Radiation pattern
% theta,r
0,3.6620460893154915E-10
0.06283185307179587,3.660783825139416E-10
0.12566370614359174,3.6564213493332603E-10
0.18849555921538758,3.6485267989279686E-10
0.25132741228718347,3.636440836161007E-10
0.3141592653589793,3.619347407304869E-10
0.37699111843077515,3.5963628955638984E-10
0.43982297150257105,3.56663450435657E-10
0.5026548245743669,3.529437003736864E-10
0.5654866776461628,3.484256306579035E-10
0.6283185307179586,3.4308491321157543E-10
0.6911503837897545,3.369270584633731E-10
0.7539822368615503,3.2998659112823985E-10
0.8168140899333463,3.223228724930208E-10
0.8796459430051421,3.140134860959018E-10
0.9424777960769378,3.0514676475027173E-10
1.0053096491487339,2.9581553692755394E-10
1.0681415022205298,2.861143923561579E-10
1.1309733552923256,2.761426510678109E-10
1.1938052083641213,2.6601478487894714E-10
1.2566370614359172,2.558793419662958E-10
1.3194689145077132,2.4594643550269095E-10
1.382300767579509,2.365222583736533E-10
1.4451326206513047,2.2804607042375984E-10
1.5079644737231006,2.211195040879916E-10
1.5707963267948966,2.1650962037370265E-10
1.6336281798666925,2.151001805214358E-10
1.6964600329384882,2.1777262566098356E-10
1.7592918860102842,2.2523303285127403E-10
1.8221237390820801,2.378512421766968E-10
1.8849555921538756,2.5559171883490117E-10
1.9477874452256716,2.7806124568169224E-10
2.0106192982974678,3.0462679546959044E-10
2.0734511513692637,3.345367848157526E-10
2.1362830044410597,3.6700816030127027E-10
2.199114857512855,4.0127562256583947E-10
2.261946710584651,4.3661449505343966E-10
2.324778563656447,4.72349353733092E-10
2.3876104167282426,5.078563109752332E-10
2.4504422698000385,5.425629661871477E-10
2.5132741228718345,5.759476886310944E-10
2.57610597594363,6.075387666994812E-10
2.6389378290154264,6.369135186965177E-10
2.701769682087222,6.63697345617314E-10
2.764601535159018,6.875627162712237E-10
2.827433388230814,7.082281148729104E-10
2.8902652413026093,7.254570120839781E-10
2.9530970943744057,7.39056930614077E-10
3.015928947446201,7.488786670829258E-10
3.078760800517997,7.548157102977227E-10
3.141592653589793,7.568038717897162E-10
3.204424506661589,7.548211253554988E-10
3.267256359733385,7.488876425124679E-10
