% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 11 2022, 13:24"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),wl_fact,Q_sca (1),Q_abs (1),Q_ext (1)
507,0.2,0.004744265182247864,0.5134104202946141,0.518154685476862
507,0.30000000000000004,0.0036818244469890974,0.5146579622889534,0.5183397867359425
507,0.4,0.0036695434043450743,0.5181891469213009,0.521858690325646
507,0.5,0.003677814619546573,0.5140385218708078,0.5177163364903543
507,0.6000000000000001,0.0034635399038643886,0.5162187657531033,0.5196823056569677
507,0.7,0.0037116608527080117,0.5141649357535292,0.5178765966062372
507,0.8,0.0035566339885675017,0.5146206243768249,0.5181772583653924
507,0.9000000000000001,0.0036389802543144215,0.5162070572053817,0.5198460374596962
507,1,0.003616673222772229,0.5164852130489443,0.5201018862717166
507,1.1,0.0036210015327171694,0.5150444475139769,0.5186654490466941
507,1.2,0.003466733907775675,0.5148327581719931,0.5182994920797688
507,1.3,0.003654624703839356,0.5131216811344412,0.5167763058382806
507,1.4000000000000001,0.003553275196737087,0.5126186827676198,0.5161719579643569
507,1.5,0.003532960830982113,0.5142585216013797,0.5177914824323618
507,1.6,0.003533701257323118,0.5130898099776199,0.516623511234943
507,1.7,0.0035982017582102586,0.5156195389515897,0.5192177407098
507,1.8,0.003505916899605771,0.5148329384835189,0.5183388553831246
507,1.9000000000000001,0.0036775483672152904,0.515483432549108,0.5191609809163233
507,2,0.003468022810813849,0.5146209355246733,0.5180889583354871
