% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 24 2022, 12:35"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),d_Matrix (nm),Q_sca (1),Q_abs (1),Q_ext (1)
521,25,0.01892608529943033,0.46194570991642225,0.4808717952158526
521,31.25,0.010950936922173844,0.46213413498090233,0.4730850719030762
521,37.5,0.007622865289662423,0.4650365069606929,0.4726593722503553
521,43.75,0.005965822156228269,0.46333455977377264,0.4693003819300009
521,50,0.005219532889965344,0.4648228969672822,0.47004242985724753
521,56.25,0.004695161189091779,0.4629279608140102,0.467623122003102
521,62.5,0.004378569794626981,0.46291061668251005,0.467289186477137
521,68.75,0.004356642217465384,0.46331457654032476,0.46767121875779016
521,75,0.00422866544304212,0.4635358087654502,0.4677644742084923
521,81.25,0.004218845850944448,0.46691209595607847,0.4711309418070229
521,87.5,0.004153602688639645,0.46401757340729904,0.46817117609593867
521,93.74999999999999,0.004125309813347303,0.46416998844936613,0.46829529826271343
521,100,0.004151913649287652,0.4639352441969845,0.46808715784627214
521,106.25,0.0041794094005111245,0.46264246380159324,0.4668218732021044
521,112.5,0.003990973805232635,0.46303034924200215,0.46702132304723476
521,118.75,0.004205472482620636,0.4651786645344066,0.46938413701702725
521,125,0.004146718663555876,0.45958580784924485,0.4637325265128007
521,131.25,0.004199082229302592,0.4639708336049763,0.4681699158342789
521,137.5,0.004010615124430291,0.4650929366068014,0.4691035517312317
521,143.74999999999997,0.004171887578304226,0.465494403691664,0.46966629126996823
521,150,0.004181141657661103,0.4628923298289556,0.4670734714866167
521,156.25,0.004164398560825054,0.4644100272553296,0.46857442581615466
521,162.5,0.004153354526842601,0.46178233922852163,0.46593569375536426
521,168.75,0.004355601702715004,0.46370059041349376,0.46805619211620875
521,175,0.004054821432630228,0.46413442347077855,0.4681892449034088
521,181.25,0.004244031221283823,0.4642510203802109,0.4684950516014947
521,187.49999999999997,0.004151924714579174,0.463143142756013,0.46729506747059213
521,193.75,0.004128896616868311,0.4636167156686587,0.467745612285527
521,200,0.004197769653736915,0.4636439127970859,0.4678416824508228
