% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 12 2022, 11:53"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),fact,Q_sca (1),Q_abs (1),Q_ext (1)
507,0.05,0.003610160417161728,0.5148235619307454,0.5184337223479072
507,0.1,0.0035416011604744975,0.5159997686186572,0.5195413697791317
507,0.15000000000000002,0.0035909234447995065,0.5148465388985592,0.5184374623433587
507,0.2,0.0036164759541124727,0.5147258025380371,0.5183422784921496
507,0.25,0.003545174810532819,0.5144288130115137,0.5179739878220465
507,0.3,0.0036189147908809154,0.5152803445417128,0.5188992593325937
507,0.35000000000000003,0.0034670077062683696,0.5148566283505225,0.5183236360567909
507,0.4,0.0036058580236825568,0.5125227824674454,0.5161286404911279
507,0.45,0.0035182227275344052,0.5163757005465124,0.5198939232740468
507,0.5,0.003507717933237714,0.512517885081459,0.5160256030146967
507,0.55,0.0035841053877758164,0.5142754254657916,0.5178595308535675
507,0.6000000000000001,0.0035195240407594913,0.5142356581063715,0.517755182147131
507,0.6500000000000001,0.003590834872827978,0.5153544105807455,0.5189452454535735
507,0.7000000000000001,0.0035427561116610743,0.514616466625665,0.5181592227373261
507,0.7500000000000001,0.0036223429189210935,0.5138800243077215,0.5175023672266426
507,0.8,0.00360045509280875,0.5150925709709074,0.5186930260637161
507,0.8500000000000001,0.0035860452816401634,0.5148424735375111,0.5184285188191513
507,0.9000000000000001,0.003711708863246737,0.5165837968891667,0.5202955057524135
507,0.9500000000000001,0.0035678625815787277,0.5154749387493183,0.519042801330897
507,1,0.00353475820650983,0.5144995308896518,0.5180342890961617
