% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 12 2022, 12:03"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),fact,Q_sca (1),Q_abs (1),Q_ext (1)
535,0.05,0.05266576260279604,2.300431429191266,2.3530971917940624
535,0.1,0.051981098297304316,2.2964251896984536,2.3484062879957577
535,0.15000000000000002,0.05183134863927304,2.301111504238737,2.35294285287801
535,0.2,0.05227931489729608,2.3026068811331397,2.354886196030436
535,0.25,0.052544883918279876,2.306740769543091,2.359285653461371
535,0.3,0.05274739086496241,2.30181248569986,2.354559876564822
535,0.35000000000000003,0.05487310000901731,2.281618337789189,2.3364914377982062
535,0.4,0.05124224068307486,2.3020929453066508,2.353335185989726
535,0.45,0.052431211193348294,2.3051674060545455,2.357598617247894
535,0.5,0.0524537557002389,2.3013671215604674,2.353820877260706
535,0.55,0.05229268784931908,2.301369844221718,2.3536625320710374
535,0.6000000000000001,0.05254133855181004,2.3039708531290253,2.356512191680835
535,0.6500000000000001,0.052720192555787825,2.304701689528095,2.357421882083883
535,0.7000000000000001,0.05321814433022299,2.303348710784031,2.356566855114254
535,0.7500000000000001,0.05173165024428709,2.3013405455188525,2.3530721957631395
535,0.8,0.05291078728097223,2.294789470693277,2.347700257974249
535,0.8500000000000001,0.05301233446108728,2.29691332824721,2.349925662708297
535,0.9000000000000001,0.052525450274412175,2.2830088287033936,2.3355342789778057
535,0.9500000000000001,0.0527190047222397,2.288355445771523,2.3410744504937626
535,1,0.052518355507710994,2.30554974554163,2.3580681010493407
