% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 24 2022, 13:20"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),d_Matrix (nm),Q_sca (1),Q_abs (1),Q_ext (1)
535,25,0.08707743171708938,2.2377909850518747,2.324868416768964
535,31.25,0.06738517187020301,2.2780285398706814,2.3454137117408846
535,37.5,0.0581829874365234,2.2899998411044944,2.348182828541018
535,43.75,0.055600401264701296,2.29120683213525,2.346807233399951
535,50,0.05371528493169324,2.297023166338251,2.3507384512699443
535,56.25,0.05262416744444245,2.3007612453909267,2.3533854128353693
535,62.5,0.052544883918245626,2.3067407695429756,2.359285653461221
535,68.75,0.05267214708186653,2.301134656573646,2.3538068036555124
535,75,0.05130953811780846,2.306381637517115,2.3576911756349235
535,81.25,0.05175754819315845,2.310013324376646,2.3617708725698043
535,87.5,0.05096834306039186,2.3030701241665543,2.354038467226946
535,93.74999999999999,0.052235299299644586,2.292156442038704,2.344391741338349
535,100,0.05174727401455753,2.3041084096089275,2.355855683623485
535,106.25,0.05141530219196843,2.3011930950986907,2.352608397290659
535,112.5,0.05212063983022583,2.3021371974342575,2.354257837264483
535,118.75,0.05284700836345041,2.291783881972001,2.344630890335451
535,125,0.05174951129138921,2.3050276811493484,2.3567771924407377
535,131.25,0.05434383231620459,2.2903670300561063,2.344710862372311
535,137.5,0.05304417520774584,2.302848684833583,2.355892860041329
535,143.74999999999997,0.05271341354180079,2.308744303073029,2.3614577166148294
535,150,0.05117071860799607,2.30594402073971,2.3571147393477063
535,156.25,0.051595221962550945,2.304587897632092,2.3561831195946428
535,162.5,0.05275446576320622,2.281950674002746,2.3347051397659526
535,168.75,0.052128672204492396,2.3046592854763794,2.3567879576808717
535,175,0.05176429746555342,2.305037715799078,2.3568020132646312
535,181.25,0.05211129157692531,2.301874465262503,2.3539857568394282
535,187.49999999999997,0.052054187561198416,2.3036802927116535,2.355734480272852
535,193.75,0.05226774425875946,2.3036263118585496,2.355894056117309
535,200,0.05131840647083745,2.3076058651936733,2.358924271664511
