% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 11 2022, 13:42"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),wl_fact,Q_sca (1),Q_abs (1),Q_ext (1)
543,0.2,0.05883408708853452,2.1833100313495684,2.242144118438103
543,0.30000000000000004,0.05664358334407256,2.1957937279873936,2.252437311331466
543,0.4,0.055764732520406854,2.226351152113946,2.282115884634353
543,0.5,0.055900275815601475,2.2124923053946715,2.2683925812102728
543,0.6000000000000001,0.05530440058430244,2.2223246867671897,2.2776290873514924
543,0.7,0.05539788074594357,2.2306197294975347,2.286017610243478
543,0.8,0.056795193425257746,2.22430238003218,2.281097573457438
543,0.9000000000000001,0.05605954237282956,2.2300828469884744,2.286142389361304
543,1,0.05607461128671844,2.224530128766071,2.280604740052789
543,1.1,0.054754623044697394,2.2229366024403543,2.277691225485052
543,1.2,0.05529534672896632,2.2240086957713854,2.279304042500352
543,1.3,0.05652474006494911,2.228473828947882,2.284998569012831
543,1.4000000000000001,0.05583295131920951,2.225745544213705,2.281578495532915
543,1.5,0.0559472101865409,2.223484590484793,2.279431800671334
543,1.6,0.057793266528936627,2.2273981828483937,2.28519144937733
543,1.7,0.05661259447070084,2.2170882242408116,2.2737008187115126
543,1.8,0.05603704778048003,2.2247147609092024,2.2807518086896823
543,1.9000000000000001,0.05674157843098167,2.2212564975932607,2.277998076024242
543,2,0.05656084343636131,2.2364375964864966,2.292998439922858
