% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Feb 24 2022, 12:35"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),d_Matrix (nm),Q_sca (1),Q_abs (1),Q_ext (1)
507,25,0.014906747654412125,0.5100001056510518,0.5249068533054639
507,31.25,0.008814839540360189,0.5123676907186767,0.5211825302590369
507,37.5,0.006196950213814925,0.5148596030415108,0.5210565532553257
507,43.75,0.004979746455946708,0.5149857882778848,0.5199655347338314
507,50,0.0042831906353171,0.5133745568874646,0.5176577475227817
507,56.25,0.00403579712586327,0.5139672351128869,0.5180030322387501
507,62.5,0.003774164228607666,0.5150249378617746,0.5187991020903823
507,68.75,0.0037646713187482646,0.5166387837903255,0.5204034551090737
507,75,0.003716677526465145,0.5161831938274334,0.5198998713538985
507,81.25,0.003662628169555121,0.5163607711160628,0.5200233992856179
507,87.5,0.0035584541603034966,0.5151903492904275,0.518748803450731
507,93.74999999999999,0.003545174810553569,0.5144288130114809,0.5179739878220345
507,100,0.0035617759612218214,0.5133778773587165,0.5169396533199384
507,106.25,0.0035494343819303144,0.5146084008013934,0.5181578351833237
507,112.5,0.0035582102655632034,0.5152528465432825,0.5188110568088458
507,118.75,0.0034533269957570103,0.516061560414428,0.5195148874101849
507,125,0.003545709279401707,0.5167885299267481,0.5203342392061497
507,131.25,0.0035932799253362586,0.5152029177246497,0.518796197649986
507,137.5,0.0036070189839476087,0.5162885293893621,0.5198955483733098
507,143.74999999999997,0.003457331638305022,0.5150524247967003,0.5185097564350053
507,150,0.0035042629747086126,0.5151849796211734,0.518689242595882
507,156.25,0.003549591129270556,0.516610741925241,0.5201603330545116
507,162.5,0.0036514061314019,0.516019711571615,0.5196711177030169
507,168.75,0.003712072544771731,0.5167590839160584,0.5204711564608301
507,175,0.00358432272639694,0.5153245557285366,0.5189088784549336
507,181.25,0.003538690388707414,0.5143283712055424,0.5178670615942499
507,187.49999999999997,0.003524320050020471,0.5146267390681476,0.5181510591181681
507,193.75,0.0035412291557308244,0.5154852125688648,0.5190264417245957
507,200,0.0035693095621634405,0.5165555765104335,0.5201248860725969
