% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 11 2022, 13:42"
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),wl_fact,Q_sca (1),Q_abs (1),Q_ext (1)
533,0.2,0.05086102106579161,2.2858868703675235,2.336747891433315
533,0.30000000000000004,0.050764144396013074,2.287124468040089,2.337888612436102
533,0.4,0.04972037858625799,2.2884537673543885,2.3381741459406467
533,0.5,0.050885037151822125,2.2948812485735703,2.3457662857253925
533,0.6000000000000001,0.05075197416512762,2.2722314667505317,2.3229834409156593
533,0.7,0.05046289476325614,2.2897184987031864,2.3401813934664424
533,0.8,0.05044460336046433,2.281185746542925,2.3316303499033895
533,0.9000000000000001,0.05007267473715113,2.288277680023565,2.338350354760716
533,1,0.0523645209253382,2.297681102119856,2.3500456230451943
533,1.1,0.04990911295062631,2.2914241301123717,2.341333243062998
533,1.2,0.05062096341598818,2.281063759575699,2.331684722991687
533,1.3,0.05058175284954407,2.2903189650666658,2.34090071791621
533,1.4000000000000001,0.04924689733431791,2.291144469522475,2.3403913668567933
533,1.5,0.04982393676675826,2.288987898112128,2.338811834878886
533,1.6,0.049716262727851776,2.2891914948751984,2.33890775760305
533,1.7,0.04988855034325415,2.293494499555845,2.3433830498990993
533,1.8,0.05061552894769815,2.2729881296939505,2.3236036586416486
533,1.9000000000000001,0.050517934509011556,2.2916060084630323,2.342123942972044
533,2,0.05047724971948602,2.2880506058154806,2.3385278555349664
