% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 11 2022, 13:24"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),wl_fact,Q_sca (1),Q_abs (1),Q_ext (1)
521,0.2,0.0055151307629936214,0.46068109672770374,0.4661962274906974
521,0.30000000000000004,0.0043512587322472405,0.4636204476967822,0.4679717064290294
521,0.4,0.004206179242051325,0.4637115427343551,0.4679177219764064
521,0.5,0.004039178990878423,0.4661112034371702,0.47015038242804863
521,0.6000000000000001,0.004003829735108677,0.4675447624518206,0.47154859218692924
521,0.7,0.004129007914819953,0.46365389174972815,0.4677828996645481
521,0.8,0.004254973110754141,0.46369286861080034,0.46794784172155446
521,0.9000000000000001,0.004175541913989245,0.46099541269125316,0.4651709546052424
521,1,0.004202005424073563,0.46456651278888966,0.4687685182129632
521,1.1,0.004141159706996963,0.4637549432489277,0.46789610295592465
521,1.2,0.004186508131202296,0.4647835037600196,0.4689700118912219
521,1.3,0.003994685286689578,0.4660408366250502,0.47003552191173975
521,1.4000000000000001,0.004121472631127938,0.4627420340505108,0.46686350668163873
521,1.5,0.004069382926269647,0.46572784449696375,0.4697972274232334
521,1.6,0.004061936584450222,0.46367793852087835,0.46773987510532855
521,1.7,0.004089351926178019,0.46275901143210124,0.4668483633582793
521,1.8,0.004156013311212165,0.4593003640039772,0.4634563773151894
521,1.9000000000000001,0.004088941305649368,0.4651208378901107,0.46920977919576007
521,2,0.004214818161907725,0.4664094576129877,0.4706242757748954
