% Model,Mie_box.mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 12 2022, 11:53"
% Table,"Table 2 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),fact,Q_sca (1),Q_abs (1),Q_ext (1)
521,0.05,0.0042742421875682545,0.46346992637114337,0.46774416855871165
521,0.1,0.004187347669585578,0.4630805595320988,0.4672679072016844
521,0.15000000000000002,0.0042188430008285385,0.4636148034504141,0.46783364645124265
521,0.2,0.004130153381756207,0.4632008179894104,0.4673309713711666
521,0.25,0.004125309813352535,0.4641699884492612,0.46829529826261374
521,0.3,0.004211660015454495,0.4632833160664248,0.4674949760818793
521,0.35000000000000003,0.00410453339746205,0.4631059434809027,0.46721047687836476
521,0.4,0.004214914432321709,0.46442541637818563,0.4686403308105073
521,0.45,0.004095096573367,0.46288561009298257,0.46698070666634955
521,0.5,0.004142955884043006,0.4631499830312799,0.4672929389153229
521,0.55,0.004280147325686368,0.4641603817681778,0.4684405290938642
521,0.6000000000000001,0.004134156277195726,0.46340519023051513,0.46753934650771084
521,0.6500000000000001,0.004199057201958109,0.4631820588647334,0.4673811160666915
521,0.7000000000000001,0.004222544384568301,0.4632382712651253,0.4674608156496936
521,0.7500000000000001,0.004105528537797994,0.46281132047234325,0.46691684901014124
521,0.8,0.004210952074580233,0.46430706333804356,0.4685180154126238
521,0.8500000000000001,0.004210806855417707,0.46391003667109865,0.46812084352651634
521,0.9000000000000001,0.004121537143964325,0.46359903071859504,0.4677205678625594
521,0.9500000000000001,0.004127475146641297,0.46469832323792176,0.46882579838456306
521,1,0.004072750903116976,0.4613028394028685,0.46537559030598546
