% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 13 2022, 20:50"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.017224594880098944,1.0136149195175543,1.0308395143976532
410,0.0157246067048718,0.9908355790084379,1.0065601857133097
419.99999999999994,0.014427130434004209,0.9671919656792449,0.9816190961132492
429.99999999999994,0.013232226043374864,0.9456195363467873,0.9588517623901621
439.99999999999994,0.012157957201658158,0.9411285590665739,0.953286516268232
450,0.011368319599866204,0.9449154009375814,0.9562837205374476
460,0.010446647061418426,0.9412863303896795,0.9517329774510979
470,0.00961868191560243,0.9418873370871285,0.9515060190027309
480,0.009302888459998092,0.9700975491870313,0.9794004376470293
490,0.009742062569526259,1.0454207939176745,1.0551628564872009
500,0.011555332344839542,1.1910147214619948,1.2025700538068345
505,0.013094439253946521,1.2959912365836326,1.309085675837579
507.49999999999994,0.014211622936984457,1.3549334785514628,1.3691451014884473
509.99999999999994,0.015539412215024454,1.4162183411642737,1.4317577533792982
509.99999999999994,0.015539412215048398,1.416218341164375,1.4317577533794235
512.5,0.016813694266802036,1.4779642843214116,1.4947779785882136
515,0.01858852259782981,1.537238048872261,1.5558265714700907
517.5,0.019760674663332943,1.5900217059415573,1.6097823806048903
519.9999999999999,0.021717132657642104,1.6329438873620172,1.6546610200196594
519.9999999999999,0.021717132657649213,1.632943887362118,1.6546610200197673
522.5,0.02317802918039086,1.6602543190531163,1.6834323482335072
525,0.024457179742322824,1.6709309130609429,1.6953880928032656
527.5,0.025314818404894742,1.6632978690137765,1.6886126874186713
530,0.025826418263788713,1.6380416233937058,1.6638680416574945
530,0.025826418263816635,1.6380416233935895,1.663868041657406
532.4999999999999,0.026301171307381882,1.5973964646477086,1.6236976359550905
535,0.026476304989289233,1.5443091606260122,1.5707854656153015
537.5,0.026501094711022955,1.4820332879088727,1.5085343826198956
540,0.02624952961920943,1.4125303404654117,1.438779870084621
540,0.026249529619250842,1.4125303404659348,1.4387798700851857
542.4999999999999,0.025649392353496114,1.3397868272464832,1.3654362195999794
545,0.02488546563254373,1.2653672678939731,1.2902527335265168
547.5,0.024198439883553684,1.1913649856304382,1.215563425513992
550,0.023605260546645142,1.1187588660579482,1.1423641266045934
550,0.023605260546683597,1.1187588660579648,1.1423641266046485
552.4999999999999,0.02258577836389668,1.0477608073186575,1.0703465856825543
555,0.02187955114754286,0.9803545955224923,1.002234146670035
557.5,0.021101104920071004,0.9142277633983572,0.9353288683184282
560,0.020352013917947623,0.8515880217549164,0.871940035672864
560,0.020352013917914972,0.8515880217551909,0.8719400356731059
570,0.017282538012394634,0.6336107418762975,0.6508932798886922
580,0.014615188261171636,0.46663912115199346,0.4812543094131651
590,0.012207989612316495,0.34655252662997965,0.35876051624229616
600,0.0102673499305558,0.26282171210585276,0.27308906203640854
