% Model,Supported-Internal-p50.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 09:11"
% Table,"Table: Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
400,0.010208600220890107,0.6714828331079001,0.6816914333287902
410,0.009319580010752797,0.6553546409316584,0.6646742209424112
419.99999999999994,0.008514719752123165,0.6393266621105173,0.6478413818626404
429.99999999999994,0.007793211115582905,0.6251483964521934,0.6329416075677764
439.99999999999994,0.007181491451238801,0.622682759952575,0.6298642514038139
450,0.0067453164918984485,0.6265210863299085,0.633266402821807
460,0.0062067777789842115,0.6267306639363451,0.6329374417153294
470,0.00571006056611782,0.6303933805352213,0.6361034411013391
480,0.005477254346664505,0.652615640299754,0.6580928946464185
490,0.0056612225607884726,0.7042362468225606,0.7098974693833491
500,0.006579816683726823,0.794146083204763,0.8007258998884899
505,0.0074036236652449796,0.8519552075116037,0.8593588311768486
507.49999999999994,0.007826357505943878,0.8806411541157769,0.8884675116217208
509.99999999999994,0.008485024128386715,0.9081085670918885,0.9165935912202752
509.99999999999994,0.008485024128354174,0.9081085670918859,0.9165935912202401
512.5,0.009171441436455798,0.9328688044347806,0.9420402458712364
515,0.00963778245549056,0.9511208209890665,0.960758603444557
517.5,0.01038082616291923,0.9626572769548554,0.9730381031177746
519.9999999999999,0.010903301981015112,0.965218902562329,0.9761222045433441
519.9999999999999,0.010903301980982816,0.9652189025623628,0.9761222045433455
522.5,0.011221519151126253,0.9575590021506115,0.9687805213017378
525,0.011580030636511945,0.94017268658348,0.9517527172199919
527.5,0.011858201350613507,0.9138580865982388,0.9257162879488523
530,0.012197568572034467,0.8804786641186052,0.8926762326906397
530,0.012197568572039099,0.8804786641185701,0.8926762326906093
532.4999999999999,0.011788126595860543,0.8418510900026858,0.8536392165985464
535,0.01169754175272132,0.800057210437538,0.8117547521902593
537.5,0.011525930340467389,0.7560176160999508,0.7675435464404181
540,0.011223556971051242,0.7138062154693945,0.7250297724404458
540,0.011223556971074375,0.7138062154696392,0.7250297724407135
542.4999999999999,0.010989033660796298,0.6694155834957848,0.6804046171565811
545,0.010645542804318427,0.6278685435430811,0.6385140863473995
547.5,0.01027382538219781,0.5880802080067833,0.5983540333889811
550,0.010038407654796626,0.5497115454490898,0.5597499531038864
550,0.010038407654803221,0.5497115454492404,0.5597499531040436
552.4999999999999,0.009529525069733709,0.5134435089009908,0.5229730339707245
555,0.00930682844975737,0.4790613419679551,0.48836817041771247
557.5,0.008983874127564762,0.4464230407895651,0.4554069149171298
560,0.008579937113120925,0.4161393939558015,0.42471933106892246
560,0.008579937113129979,0.4161393939560605,0.42471933106919046
570,0.007354312453106095,0.3113181693708589,0.31867248182396496
580,0.006352155698076227,0.23288718344267154,0.23923933914074777
590,0.005448969872702258,0.17589842440558917,0.18134739427829144
600,0.004701899573787433,0.13570220785473122,0.14040410742851867
