% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 27 2021, 17:12"
% Dimension,1
% Nodes,404
% Expressions,1
% Description,Radiation pattern
% theta,r
0,3.7353293992168933E-10
0.06283185307179587,3.738957562478308E-10
0.12566370614359174,3.749290926113711E-10
0.18849555921538758,3.7658713443859815E-10
0.25132741228718347,3.7879533134437716E-10
0.3141592653589793,3.814543782863393E-10
0.37699111843077515,3.8444582830091734E-10
0.43982297150257105,3.8763925893285205E-10
0.5026548245743669,3.909007950271109E-10
0.5654866776461628,3.941026272143549E-10
0.6283185307179586,3.971329774729177E-10
0.6911503837897545,3.9990578085754433E-10
0.7539822368615503,4.0236921354112083E-10
0.8168140899333463,4.0451214150286253E-10
0.8796459430051421,4.06367626797661E-10
0.9424777960769378,4.0801283280924305E-10
1.0053096491487339,4.095650201214054E-10
1.0681415022205298,4.111737972601951E-10
1.1309733552923256,4.1301032859952943E-10
1.1938052083641213,4.15254713313689E-10
1.2566370614359172,4.180831172789395E-10
1.3194689145077132,4.216563478734204E-10
1.382300767579509,4.261113347325557E-10
1.4451326206513047,4.3155642547005144E-10
1.5079644737231006,4.38070632969792E-10
1.5707963267948966,4.4570616676019767E-10
1.6336281798666925,4.5449294930537023E-10
1.6964600329384882,4.6444351127144595E-10
1.7592918860102842,4.75556735170491E-10
1.8221237390820801,4.8781933301022E-10
1.8849555921538756,5.012045875121982E-10
1.9477874452256716,5.156686077297611E-10
2.0106192982974678,5.311449910020272E-10
2.0734511513692637,5.475392059491516E-10
2.1362830044410597,5.647241244794227E-10
2.199114857512855,5.825379158798521E-10
2.261946710584651,6.007850373090745E-10
2.324778563656447,6.192404435216848E-10
2.3876104167282426,6.376565512258218E-10
2.4504422698000385,6.557720631854893E-10
2.5132741228718345,6.733215570916888E-10
2.57610597594363,6.900447771720348E-10
2.6389378290154264,7.05694779574132E-10
2.701769682087222,7.200443947834795E-10
2.764601535159018,7.328908004138248E-10
2.827433388230814,7.440582830875703E-10
2.8902652413026093,7.533994730671987E-10
2.9530970943744057,7.607954497542343E-10
3.015928947446201,7.6615514912876E-10
3.078760800517997,7.694144750892164E-10
3.141592653589793,7.705354474283606E-10
3.204424506661589,7.695056286408113E-10
3.267256359733385,7.66337972611161E-10
3.330088212805181,7.610711368211463E-10
3.3929200658769765,7.537701977903678E-10
3.4557519189487724,7.445276072541865E-10
3.5185837720205684,7.334641263002201E-10
3.581415625092364,7.207293836182886E-10
3.6442474781641603,7.065016362855367E-10
3.707079331235956,6.909862876387253E-10
3.7699111843077513,6.744127604613161E-10
3.8327430373795477,6.570294554649269E-10
3.895574890451343,6.390967534940394E-10
3.9584067435231396,6.208783322447726E-10
4.0212385965949355,6.026314231859876E-10
4.084070449666731,5.845969611242526E-10
4.1469023027385274,5.669907874400019E-10
4.209734155810323,5.499970715945061E-10
4.272566008882119,5.337648619568458E-10
4.335397861953915,5.184081788172201E-10
4.39822971502571,5.04009409500798E-10
4.461061568097507,4.906251087820878E-10
4.523893421169302,4.782928155084578E-10
4.586725274241098,4.670372996138456E-10
4.649557127312894,4.568748068900656E-10
4.71238898038469,4.4781434024363124E-10
4.775220833456485,4.398557061104957E-10
4.838052686528282,4.329848246363017E-10
