% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 27 2021, 17:12"
% Dimension,1
% Nodes,404
% Expressions,1
% Description,Radiation pattern
% theta,r
0,1.098820720421094E-7
0.06283185307179587,1.0964197303227989E-7
0.12566370614359174,1.0886726985780209E-7
0.18849555921538758,1.0757714162879551E-7
0.25132741228718347,1.0580279412737859E-7
0.3141592653589793,1.0358589164073494E-7
0.37699111843077515,1.0097662413545262E-7
0.43982297150257105,9.803164839715728E-8
0.5026548245743669,9.481215932074142E-8
0.5654866776461628,9.138233006464509E-8
0.6283185307179586,8.780830624875337E-8
0.6911503837897545,8.415785442677951E-8
0.7539822368615503,8.050065856429011E-8
0.8168140899333463,7.690914230918253E-8
0.8796459430051421,7.345957899012565E-8
0.9424777960769378,7.023313880387188E-8
1.0053096491487339,6.731641342007517E-8
1.0681415022205298,6.480086410440027E-8
1.1309733552923256,6.278061262043388E-8
1.1938052083641213,6.134814912862212E-8
1.2566370614359172,6.058800905790213E-8
1.3194689145077132,6.056929040843437E-8
1.382300767579509,6.133873833036169E-8
1.4451326206513047,6.291639934146434E-8
1.5079644737231006,6.529508874587071E-8
1.5707963267948966,6.844341492884907E-8
1.6336281798666925,7.231081437887145E-8
1.6964600329384882,7.683273373322287E-8
1.7592918860102842,8.193469815847174E-8
1.8221237390820801,8.75349150960936E-8
1.8849555921538756,9.354573515449726E-8
1.9477874452256716,9.987455626413922E-8
2.0106192982974678,1.064247128014727E-7
2.0734511513692637,1.1309670623676585E-7
2.1362830044410597,1.1978993099370623E-7
2.199114857512855,1.2640488726436066E-7
2.261946710584651,1.3284576537925156E-7
2.324778563656447,1.390232257819375E-7
2.3876104167282426,1.448571695947416E-7
2.4504422698000385,1.5027928355088846E-7
2.5132741228718345,1.5523514157001078E-7
2.57610597594363,1.5968565202746883E-7
2.6389378290154264,1.6360765912890446E-7
2.701769682087222,1.6699354625397313E-7
2.764601535159018,1.6984975582196325E-7
2.827433388230814,1.721942371917365E-7
2.8902652413026093,1.7405295709357155E-7
2.9530970943744057,1.7545574275446402E-7
3.015928947446201,1.7643185410147407E-7
3.078760800517997,1.7700577054566667E-7
3.141592653589793,1.7719370301488613E-7
3.204424506661589,1.7700128556292744E-7
3.267256359733385,1.7642276265481446E-7
3.330088212805181,1.7544178848972564E-7
3.3929200658769765,1.7403373113486497E-7
3.4557519189487724,1.7216917151090523E-7
3.5185837720205684,1.698181439859105E-7
3.581415625092364,1.669546033936959E-7
3.6442474781641603,1.6356062389545658E-7
3.707079331235956,1.596299218813562E-7
3.7699111843077513,1.551704217531689E-7
3.8327430373795477,1.5020572213783554E-7
3.895574890451343,1.4477544804457318E-7
3.9584067435231396,1.3893457729988147E-7
4.0212385965949355,1.3275190184636136E-7
4.084070449666731,1.2630782811819292E-7
4.1469023027385274,1.1969174207825716E-7
4.209734155810323,1.1299917083543104E-7
