% Model,NP_Substrate_analyticFresnel_Incrusted.mph,,,,,,,,,,,,,,
% Version,COMSOL 5.4.0.225,,,,,,,,,,,,,,
% Date,"Jun 2 2021, 22:26",,,,,,,,,,,,,,
% Table,"Table 8 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,,,,,,,,,,,
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1),"h_sphere=6.25E-9, Q_sca (½)","h_sphere=6.25E-9, Q_abs (½)","h_sphere=6.25E-9, Q_ext (½)","h_sphere=0, Q_sca (0)","h_sphere=0, Q_abs (0)","h_sphere=0, Q_ext (0)","h_sphere=-6.25E-9, Q_sca (-1/2)","h_sphere=-6.25E-9, Q_abs (-1/2)","h_sphere=-6.25E-9, Q_ext (-1/2)",Scat Cross Section (-1),Abs Cross Section (-1),Q_extTE (-1)
450,0.002882988696511,0.294322619988699,0.29720560868521,0.05311369404215,0.417874492547152,0.470988186589302,0.038686280637281,0.631726620289827,0.670412900927107,0.021603296526406,0.835933182362295,0.857536478888701,0.019548223759295,1.37559938048348,1.39514760424277
460,0.002654741501749,0.295167220819838,0.297821962321588,0.053048486782214,0.418041266340858,0.471089753123072,0.038208810674263,0.629212162087949,0.667420972762212,0.020706973884287,0.830180508280339,0.850887482164626,0.017887662262987,1.3654864393549,1.38337410161788
470,0.002455602929674,0.297994909632436,0.300450512562111,0.053297551111932,0.420219908469959,0.473517459581892,0.037961540562163,0.629328594279978,0.667290134842141,0.019971561658395,0.827174710088478,0.847146271746874,0.016411241501449,1.35914226865483,1.37555351015628
480,0.002349794302594,0.308856728764408,0.311206523067002,0.055131626629631,0.434702211806028,0.489833838435659,0.038971524895794,0.647956130316517,0.686927655212311,0.020020546782758,0.848152641355649,0.868173188138407,0.015756908488271,1.39097282335983,1.4067297318481
490,0.002394157245808,0.331183420599082,0.33357757784489,0.059443517679486,0.468725152284483,0.528168669963969,0.041969259674456,0.697893867029266,0.739863126703722,0.021382683091619,0.910357564419736,0.931740247511355,0.016500633117862,1.48994528299791,1.50644591611578
500,0.002667590311843,0.363236980723723,0.365904571035566,0.066620041310168,0.527964165725007,0.594584207035175,0.047730582194095,0.794629660765772,0.842360242959867,0.02484224026614,1.0377143784109,1.06255661867704,0.019802394075766,1.69819117674606,1.71799357082182
510,0.003190011150869,0.385648982906368,0.388838994057238,0.074839444815962,0.603023011829257,0.677862456645219,0.056125749750906,0.944256061533241,1.00038181128415,0.031392635964298,1.251859106163,1.2832517421273,0.027797622986985,2.06501484985818,2.09281247284517
520,0.003630683363573,0.360663712301903,0.364294395665476,0.077379262197944,0.640189578693777,0.717568840891721,0.063500857443962,1.08768911603644,1.15118997348041,0.040340965588365,1.50338882872662,1.54372979431498,0.041854987141883,2.54668341461355,2.58853840175544
530,0.003597951125948,0.29286715382623,0.296465104952178,0.069214483403567,0.583489519114937,0.652704002518504,0.063093752224694,1.09030905091698,1.15340280314168,0.046426559051485,1.60624951007316,1.65267606912465,0.056533024404494,2.85550978430003,2.91204280870452
540,0.003250327026931,0.224623786874348,0.227874113901279,0.055813737898063,0.472205693526927,0.52801943142499,0.054663310068374,0.939426304257563,0.994089614325937,0.045334182594987,1.46326683892205,1.50860102151704,0.062587891265576,2.7352785433159,2.79786643458148
550,0.002850127180036,0.171473642763706,0.174323769943742,0.0432891191794,0.364435546519877,0.407724665699277,0.043900634905697,0.743567749985601,0.787468384891298,0.039570654070664,1.19570997179939,1.23528062587005,0.059666184241373,2.31260082656385,2.37226701080522
560,0.002500045822319,0.130813972074053,0.133314017896372,0.033136750575479,0.276038102133602,0.309174852709081,0.034167672654866,0.566115087518219,0.600282760173084,0.032883688425744,0.922741869746155,0.955625558171899,0.052968452807478,1.81704529620462,1.8700137490121
570,0.002194030745521,0.099583018649757,0.101777049395278,0.025150757609534,0.20657001644928,0.231720774058815,0.026147052427528,0.421046484140923,0.447193536568451,0.026552753492989,0.686490384312344,0.713043137805333,0.045026493311446,1.36003239790504,1.40505889121649
580,0.001928555644577,0.076116140800251,0.078044696444828,0.019107317203988,0.154443195776472,0.17355051298046,0.019867326248734,0.310293089507284,0.330160415756018,0.021137311012759,0.502267558117243,0.523404869130002,0.037219279329939,0.992199449255999,1.02941872858594
590,0.001699309259864,0.059028097627166,0.06072740688703,0.014686957600439,0.116940509915563,0.131627467516001,0.015190669548349,0.230627691818429,0.245818361366778,0.016790870656075,0.369204371759118,0.385995242415192,0.030391366394964,0.723420852443457,0.753812218838421
600,0.001505853395885,0.046719739263699,0.048225592659584,0.011505043695228,0.090385688631409,0.101890732326637,0.011796298004867,0.17499747140263,0.186793769407497,0.01347144890748,0.276748421887229,0.290219870794709,0.024898113020712,0.537141552763661,0.562039665784373
