% Model,Mie_box_Glass.mph
% Version,COMSOL 5.4.0.225
% Date,"Jun 15 2022, 11:02"
% Table,"Table 2 - Global Evaluation 2 (Q_sca, Q_abs, Q_ext)"
% fact,wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1)
0.1,545,0.05554788061441924,2.1643163893855375,2.219864269999957
0.15000000000000002,545,0.05557942613901505,2.170425074824582,2.226004500963597
0.2,545,0.05509565221434148,2.1675479228660075,2.222643575080349
0.25,545,0.05597683569768723,2.161351246870176,2.2173280825678634
0.30000000000000004,545,0.05570949277436455,2.1489794136657734,2.204688906440138
0.35,545,0.05601103654438298,2.1703232728909563,2.226334309435339
0.4,545,0.05561299530559908,2.1675010962337593,2.2231140915393586
0.45000000000000007,545,0.05588568377350991,2.1644735960869657,2.2203592798604754
0.5,545,0.05568452502303573,2.1643137257076615,2.219998250730697
0.55,545,0.0558921311819721,2.166932405044505,2.222824536226477
0.6,545,0.055516494011710264,2.1639466215479666,2.2194631155596767
0.65,545,0.055613629217215514,2.160476737405083,2.216090366622298
0.7000000000000001,545,0.055773457807033106,2.1695112140102624,2.2252846718172954
0.75,545,0.05524003085358767,2.1646777690164165,2.219917799870004
0.8,545,0.0556791172225508,2.166120989483388,2.2218001067059387
0.85,545,0.05523487608931321,2.164039737210134,2.219274613299447
0.9,545,0.055445533859913465,2.16638533117084,2.2218308650307534
0.9500000000000001,545,0.05518996887248959,2.169069110877875,2.2242590797503645
1,545,0.055456926993317286,2.164137908086386,2.219594835079703
