% Model,3_4-NP_Substrate_Neg.mph,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 5.4.0.225,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Jun 15 2021, 15:49",,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,"Table 1 - Global Evaluation 1 (Q_sca, Q_abs, Q_ext)",,,,,,,,,,,,,,,,,,,,,,,,,,
% wlength (nm),-1,-1,-1,-0.75,-0.75,-0.75,-0.5,-0.5,-0.5,-0.25,-0.25,-0.25,0,0,0,0.25,0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,1,1,1
% wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1)
450,0.013644247716509,0.958697511004399,0.972341758720908,0.012725229017369,0.911178047463273,0.923903276480642,0.011257017491332,0.836338675289687,0.847595692781019,0.009465718031871,0.741060046650274,0.750525764682146,0.007610649668152,0.63399654275399,0.641607192422143,0.005865140717357,0.524574093100766,0.530439233818123,0.004464598318638,0.423149695873022,0.42761429419166,0.003439330501168,0.341479121692575,0.344918452193743,0.002882988696511,0.294322619988699,0.29720560868521
460,0.012466501566945,0.949762491949182,0.962228993516127,0.011640178752016,0.903706979156009,0.915347157908024,0.0103078721022,0.830566409140343,0.840874281242543,0.00867067195062,0.736849940529751,0.745520612480372,0.00698173533785,0.63137867953354,0.63836041487139,0.005381047573315,0.523266885028852,0.528647932602167,0.004107134809525,0.423100671066281,0.427207805875807,0.003153714267414,0.342009722362128,0.345163436629542,0.002654741501749,0.295167220819838,0.297821962321588
470,0.011420361758701,0.943558837651777,0.954979199410478,0.01067463125795,0.899157670374738,0.909832301632688,0.009467052778494,0.82754360856341,0.837010661341904,0.007969498306312,0.735477710805072,0.743447209111384,0.006412664703707,0.631407915384436,0.637820580088143,0.004946503198911,0.524532154942424,0.529478658141335,0.003781359908222,0.425101808004237,0.428883167912459,0.002910763887929,0.344647595390087,0.347558359278017,0.002455602929674,0.297994909632436,0.300450512562111
480,0.010951340705054,0.963858707942003,0.974810048647057,0.010251314534363,0.920198250188013,0.930449564722376,0.00909147580217,0.848515833875656,0.857607309677827,0.007649226570711,0.755575854625205,0.763225081195915,0.006152229132771,0.650011272995592,0.656163502128363,0.004744116350961,0.54119751498282,0.54594163133378,0.003615341947171,0.439551572461406,0.443166914408578,0.002786991050969,0.35699147244361,0.359778463494579,0.002349794302594,0.308856728764408,0.311206523067002
490,0.011464875741644,1.03050330392675,1.04196817966839,0.010736830147484,0.985791992954781,0.996528823102264,0.009517491837855,0.910731571642144,0.920249063479999,0.00798550425515,0.812496256832941,0.820481761088091,0.00639622920442,0.700015796580914,0.706412025785334,0.004906218549288,0.583372855773905,0.588279074323192,0.00372771054397,0.473738521081716,0.477466231625687,0.002844045286707,0.384019395678089,0.386863440964796,0.002394157245808,0.331183420599082,0.33357757784489
500,0.013756270119181,1.17239478338177,1.18615105350095,0.012871974829085,1.12277605249323,1.13564802732231,0.011370258225914,1.03812173532833,1.04949199355424,0.009496338600102,0.926161298358737,0.935657636958839,0.007544062309265,0.796933150238163,0.804477212547428,0.005719596099921,0.661674508575401,0.667394104675322,0.004272238249869,0.533346042539323,0.537618280789192,0.003216460461133,0.42703620815893,0.430252668620063,0.002667590311843,0.363236980723723,0.365904571035566
510,0.01931316773422,1.42319962425846,1.44251279199268,0.017978597015184,1.35928979782439,1.37726839483958,0.015757110750158,1.25232415649329,1.26808126724344,0.013008735500469,1.11093610529606,1.12394484079653,0.010152540714736,0.946836605480813,0.956989146195549,0.007532039071846,0.774090585335184,0.78162262440703,0.005464701471444,0.608812426584876,0.614277128056319,0.003955840180774,0.470341882930329,0.474297723111103,0.003190011150869,0.385648982906368,0.388838994057238
520,0.029070759355914,1.75256115180997,1.78163191116588,0.026666007740585,1.65454672200662,1.6812127297472,0.022991841978009,1.50391236550645,1.52690420748446,0.018573750187536,1.31067735255665,1.32925110274419,0.014107191266953,1.09046654676727,1.10457373803422,0.010067992335614,0.86175024427103,0.871818236606644,0.006962503887456,0.645927285628359,0.652889789515815,0.004746942202235,0.467885642951527,0.472632585153762,0.003630683363573,0.360663712301903,0.364294395665476
530,0.039187166901825,1.96260040453379,2.00178757143561,0.035081065747331,1.81194555470152,1.84702662044885,0.029482336498326,1.60677537629245,1.63625771279077,0.023137020484534,1.36049237656448,1.38362939704901,0.016985025079247,1.09292673097121,1.10991175605046,0.011607449072169,0.827400786117758,0.839008235189927,0.007618593866364,0.588409711999326,0.59602830586569,0.004913984378812,0.400533093270385,0.405447077649198,0.003597951125948,0.29286715382623,0.296465104952178
540,0.043238618647787,1.87785072948103,1.92108934812882,0.037783574461973,1.69223902740023,1.7300226018622,0.030994902409999,1.46372239370955,1.49471729611955,0.023689948944963,1.20594560481652,1.22963555376148,0.016953278393946,0.941574507772057,0.958527786166003,0.011266646492521,0.691171805571018,0.702438452063539,0.007194945752793,0.476004433160364,0.483199378913157,0.004534131932333,0.313991571948476,0.318525703880809,0.003250327026931,0.224623786874348,0.227874113901279
