% Model,NP_Substrate_analyticFresnel_Internal.mph
% Version,COMSOL 5.4.0.225
% Date,"May 25 2021, 13:12"
% Table,Table 3 - Abs S (Q_abs)
% alpha (deg),wlength (nm),"theta_i=0.66323, Q_abs (1)","theta_i=0.68068, Q_abs (1)","theta_i=0.69813, Q_abs (1)","theta_i=0.71558, Q_abs (1)","theta_i=0.73304, Q_abs (1)","theta_i=0.75049, Q_abs (1)","theta_i=0.76794, Q_abs (1)","theta_i=0.7854, Q_abs (1)"
0,500,0.8334143217975738,0.8881412837370285,0.9651537718340671,1.092360183423381,1.4158857102142473,1.318596888482355,1.246441478025868,1.1827512657432548
0,510.00000000000006,0.8869474837719148,0.9451900527307412,1.0271496502598279,1.1625273330136052,1.5077326479002546,1.4053159946374911,1.329038871722274,1.2615735483155073
0,520,0.8309997512833144,0.8855688250187688,0.9623589145502305,1.0891975744115399,1.4134623977471699,1.3185862327890514,1.2476374557228689,1.1847591380104678
0,530,0.6754373179187778,0.7197913212195074,0.7822066267463762,0.8853015368824547,1.1494724587267644,1.073174087097553,1.0159151626749667,0.9650790158124547
0,540.0000000000001,0.5183919939280172,0.5524333405781333,0.6003366025801279,0.6794611649463682,0.8826257911203274,0.8246433422238865,0.7809949652733243,0.7421814372573243
0,550,0.39567148306544275,0.421654097308828,0.4582170610764607,0.5186102329221756,0.673973612949923,0.630133885916907,0.5970378760690145,0.5675646530271541
0,560.0000000000001,0.30184828927938495,0.3216697750215266,0.34956276294018473,0.39563526687679634,0.5143735640724425,0.4812371616079765,0.4561531106326049,0.43378328314294806
0,570,0.2297837189230741,0.2448729021702403,0.2661065589059152,0.30117947191260086,0.3917278175137285,0.3667317490162142,0.3477600468326788,0.3308180110084051
0,580,0.175512690081976,0.18703805240758253,0.20325667070128353,0.2300459557598512,0.29932501946368334,0.2804044465378201,0.26600772742197454,0.253134203041985
0,590,0.13602042670140269,0.1449524387200322,0.15752166972182993,0.1782830466586239,0.23206143001743218,0.21753010026917233,0.20644632328675316,0.19652245756078912
0,600,0.10757682939520874,0.11464104109922071,0.12458188664104067,0.14100180540444684,0.1836023418055149,0.17221322622036778,0.16350578918312342,0.15569976829161786
