% Model,fresnel_equations_analytic.mph,,,,,,,,,,,,,,,
% Version,COMSOL 5.4.0.225,,,,,,,,,,,,,,,
% Date,"May 1 2021, 19:22",,,,,,,,,,,,,,,
% Table,"Table 4 - Global Evaluation 2 (Q_scTE, Q_absTE, Q_extTE)",1 radius,1 radius,1 radius,.5 radius,.5 radius,.5 radius,0 radius,0 radius,0 radius,,,,,,
% lda0 (nm),lambda0 (nm),Scat Cross Section (1),Abs Cross Section (1),Q_extTE (1),Scat Cross Section (½),Abs Cross Section (½),Q_extTE (½),Scat Cross Section (0),Abs Cross Section (0),Q_extTE (0),Scat Cross Section (-1/2),Abs Cross Section (-1/2),Q_extTE (-1/2),Scat Cross Section (-1),Abs Cross Section (-1),Q_extTE (-1)
450,450,0.002792205356755,0.276982575688858,0.279774781045613,0.004141003919867,0.399884204415069,0.404025208334936,0.00700591244319,0.60228514090766,0.609291053350849,0.010601008941216,0.797901694017515,0.808502702958731,0.013180411923451,0.918043130618498,0.93122354254195
460,460,0.00256064328205,0.275904344961467,0.278464988243517,0.003787196588525,0.397382642951473,0.401169839539998,0.00639555322227,0.596816630900527,0.603212184122797,0.009660772331144,0.78904050442304,0.798701276754184,0.011993565066076,0.906217710089442,0.918211275155517
470,470,0.002355177117608,0.276411015450308,0.278766192567916,0.00346987935963,0.396701742576026,0.400171621935656,0.00585655562904,0.593707077312332,0.599563632941372,0.008830630626831,0.782731487979348,0.791562118606179,0.010942025423085,0.897043413924234,0.907985439347319
480,480,0.002228042029613,0.283473953606976,0.285701995636588,0.003287616405842,0.406350486471766,0.409638102877608,0.00554872157101,0.606258515013586,0.611807236584596,0.008381956841606,0.797117187890224,0.80549914473183,0.010380987995122,0.911076694689184,0.921457682684306
490,490,0.002215770309763,0.299523389999059,0.301739160308821,0.003284189126378,0.431512967260142,0.43479715638652,0.005614480683748,0.64417544541941,0.649789926103158,0.008539765771069,0.845403435467101,0.85394320123817,0.010586199363236,0.963930534255709,0.974516733618945
500,500,0.002373394492973,0.323238353175303,0.325611747668276,0.003596668460254,0.475635174147627,0.479231842607881,0.006299574989974,0.717228928081751,0.723528503071725,0.009733414817064,0.943462721336374,0.953196136153438,0.012100565177371,1.0753508146821,1.08745137985947
510,510,0.002701761302475,0.341780474027761,0.344482235330235,0.004320986348142,0.530276696802302,0.534597683150444,0.007918299644348,0.824904382525538,0.832822682169886,0.012493807194216,1.09943931538011,1.11193312257432,0.015725542511722,1.26113488862421,1.27686043113593
520,520,0.003011984916812,0.330266707208772,0.333278692125584,0.005227159776148,0.55951434759777,0.564741507373918,0.010266752044725,0.923083293134899,0.933350045179624,0.016764143549341,1.26868219744721,1.28544634099655,0.021562618842883,1.48377224460811,1.505334863451
530,530,0.003038952411481,0.285901103159673,0.288940055571154,0.005730780241835,0.527815118980407,0.533545899222241,0.012004680301972,0.931747553288965,0.943752233590937,0.020482289458982,1.33813018035273,1.35861246981171,0.027189846567118,1.61595389567743,1.64314374224455
540,540,0.002835320390014,0.233951281707098,0.236786602097112,0.005612773187994,0.454606802951065,0.460219576139059,0.012330176981689,0.844072583052304,0.856402760033993,0.021738868350075,1.26163001870651,1.28336888705658,0.029753758319223,1.575838912291,1.60559267061022
550,550,0.002558173609926,0.188864635237857,0.191422808847783,0.005184139413032,0.37515546041792,0.380339599830953,0.011633649887568,0.716741010914306,0.728374660801874,0.020964127253768,1.10140146417441,1.12236559142818,0.029365876379425,1.41167594239572,1.44104181877514
560,560,0.002294891540729,0.151957219521997,0.154252111062726,0.004696141547712,0.303975274857097,0.308671416404809,0.010625727534477,0.589113675626425,0.599739403160902,0.01933193651044,0.920551240153215,0.939883176663655,0.02746128697747,1.20074839657398,1.22820968355145
570,570,0.002052209678531,0.121845051780635,0.123897261459167,0.0041835606314,0.242931958135375,0.247115518766774,0.009455999256342,0.472919307459295,0.482375306715637,0.017277351599758,0.744566954152383,0.761844305752141,0.024718172817667,0.980895708600188,1.00561388141785
580,580,0.00183193092613,0.097743611951483,0.099575542877613,0.003700639539146,0.192922034394725,0.196622673933871,0.008278034312829,0.373813588013678,0.382091622326506,0.01505635617862,0.589068602813697,0.604124958992317,0.021529849206014,0.777911324821796,0.79944117402781
590,590,0.001631694464084,0.07903857729741,0.080670271761494,0.003251681547641,0.153592050766268,0.156843732313909,0.007154704558946,0.294723591400995,0.301878295959941,0.012890253049148,0.462221595844313,0.475111848893461,0.018337368306986,0.60885192400367,0.627189292310656
600,600,0.00145512468373,0.064784195131269,0.066239319814999,0.002853778434593,0.123688451818669,0.126542230253262,0.006177258545904,0.234487105636415,0.240664364182318,0.010986824666057,0.364947998732036,0.375934823398093,0.01550410925958,0.478394892556697,0.493899001816278
