longitud de onda,Esfera,0.75,0.5,0.25,0
400,0.100994265964505,0.130378810808484,0.171557739712738,0.206489683149646,0.216007257585622
401,0.100766424387224,0.130105084695674,0.171225606042684,0.206103334087276,0.215583399040066
402,0.100539677068585,0.129832703042374,0.170895170880288,0.205719015156138,0.2151617304087
403,0.100314015782099,0.129561655745049,0.170566421572666,0.205336711384702,0.2147422354882
404,0.100089432382663,0.129291932799993,0.170239345592052,0.204956407949905,0.21432489823584
405,0.099865918805562,0.129023524302103,0.16991393053425,0.204578090175315,0.213909702767503
406,0.099643467065475,0.128756420443656,0.169590164117112,0.204201743529332,0.21349663335573
407,0.099422069255502,0.128490611513122,0.169268034179036,0.203827353623405,0.213085674427795
408,0.099201717546201,0.128226087893975,0.168947528677493,0.20345490621028,0.212676810563811
409,0.098982404184642,0.12796284006354,0.168628635687566,0.203084387182274,0.212270026494861
410,0.098764121493478,0.127700858591842,0.168311343400518,0.202715782569573,0.211865307101156
411,0.098546861870019,0.127440134140482,0.167995640122374,0.202349078538553,0.211462637410223
412,0.098330617785331,0.127180657461524,0.167681514272535,0.201984261390131,0.211062002595115
413,0.09811538178334,0.126922419396398,0.167368954382395,0.201621317558137,0.210663387972653
414,0.097932931446125,0.126687338819508,0.167046546973748,0.201191151498981,0.210157038390268
415,0.097765003106983,0.126462818240454,0.166720827769398,0.200733451920924,0.209606119120717
416,0.097597951757446,0.12623944135178,0.166396677448795,0.200277850201831,0.209057726976768
417,0.097431771177422,0.126017199958526,0.166074084584432,0.199824331046986,0.208511843770096
418,0.097266455206462,0.125796085944043,0.165753037857703,0.19937287930799,0.207968451486756
419,0.097101997743053,0.125576091269067,0.165433526057601,0.198923479981013,0.207427532285101
420,0.096938392743909,0.12535720797079,0.165115538079433,0.198476118205072,0.20688906849373
421,0.096775634223286,0.125139428161955,0.164799062923563,0.198030779260341,0.206353042609468
422,0.096613716252297,0.124922744029959,0.164484089694159,0.197587448566475,0.205819437295371
423,0.096452632958243,0.12470714783597,0.164170607597972,0.197146111680964,0.205288235378765
424,0.096292378523948,0.124492631914055,0.16385860594312,0.196706754297509,0.204759419849306
425,0.096132947187104,0.124279188670325,0.163548074137897,0.19626936224442,0.204232973857072
426,0.095974333239634,0.124066810582086,0.163239001689597,0.195833921483038,0.20370888071068
427,0.095816531027049,0.123855490197004,0.162931378203353,0.195400418106175,0.203187123875432
428,0.095659534947828,0.123645220132286,0.162625193380991,0.194968838336585,0.202667686971481
429,0.095503339452798,0.123435993073865,0.162320437019907,0.194539168525446,0.202150553772028
430,0.095347939044526,0.123227801775603,0.162017099011949,0.194111395150869,0.201635708201545
431,0.09531332938163,0.12318208474626,0.161906665121103,0.193829089426325,0.201149576150146
432,0.095399758692785,0.123299187571756,0.161989027313177,0.193690880980757,0.200690377137383
433,0.095487311954592,0.123417784235484,0.162072651550953,0.193552715265884,0.200231066898254
434,0.095575992155543,0.12353787876176,0.162157533134523,0.193414573800321,0.199771631634906
435,0.095665802358823,0.123659475267487,0.162243667348607,0.193276438055959,0.199312057681195
436,0.095756745702687,0.123782577962483,0.162331049460796,0.193138289456881,0.198852331502667
437,0.095848825400847,0.123907191149813,0.162419674719766,0.193000109378297,0.198392439696552
438,0.095942044742882,0.124033319226144,0.162509538353483,0.192861879145506,0.197932368991779
439,0.096036407094649,0.124160966682098,0.16260063556738,0.192723580032874,0.197472106249011
440,0.09613191589872,0.124290138102628,0.162692961542518,0.192585193262839,0.1970116384607
441,0.096228574674819,0.124420838167398,0.162786511433724,0.192446700004936,0.196550952751154
442,0.096326387020281,0.124553071651183,0.16288128036771,0.192308081374843,0.196090036376626
443,0.096425356610527,0.124686843424271,0.162977263441163,0.192169318433451,0.195628876725423
444,0.096525487199542,0.124822158452886,0.163074455718826,0.192030392185962,0.195167461318028
445,0.096626782620377,0.124959021799615,0.16317285223154,0.191891283581,0.194705777807237
446,0.09672924678566,0.125097438623854,0.163272447974271,0.191751973509754,0.194243813978319
447,0.096832883688125,0.125237414182258,0.163373237904112,0.191612442805145,0.19378155774919
448,0.096937697401149,0.125378953829213,0.163475216938258,0.191472672241016,0.193318997170597
449,0.097043692079307,0.125522063017308,0.163578379951953,0.191332642531342,0.192856120426324
450,0.097150871958948,0.12566674729783,0.163682721776421,0.191192334329476,0.192392915833416
451,0.097267102695133,0.125818432055807,0.163785349663189,0.19103557234845,0.191905442950817
452,0.097455546065579,0.126020408839859,0.163862337254913,0.190732020826986,0.191202074550961
453,0.097645675921804,0.126223841947321,0.163938979534779,0.190426185284615,0.190498020297603
454,0.097837501415709,0.126428730073458,0.164015248177866,0.190118042032534,0.189793286351625
455,0.098031031804426,0.126635071808756,0.164091114526265,0.189807567590006,0.1890878791793
456,0.098226276450717,0.126842865634921,0.164166549585921,0.189494738690111,0.188381805550611
457,0.098423244823383,0.127052109920787,0.164241524023513,0.189179532285561,0.187675072537515
458,0.098621946497658,0.127262802918145,0.164316008163399,0.18886192555457,0.186967687512169
459,0.098822391155602,0.127474942757469,0.164389971984609,0.188541895906799,0.186259658145091
460,0.099024588586492,0.127688527443563,0.164463385117899,0.188219420989348,0.185550992403284
461,0.099228548687199,0.1279035548511,0.164536216842865,0.187894478692817,0.184841698548304
462,0.099434281462565,0.128120022720077,0.164608436085121,0.187567047157415,0.184131785134283
463,0.099641797025771,0.128337928651159,0.16468001141355,0.18723710477913,0.183421261005891
464,0.099851105598692,0.128557270100936,0.164750911037616,0.186904630215942,0.182710135296266
465,0.100062217512248,0.128778044377066,0.164821102804765,0.186569602394098,0.181998417424872
466,0.100275143206749,0.129000248633318,0.16489055419789,0.186232000514424,0.181286117095327
467,0.100489893232218,0.129223879864506,0.164959232332888,0.185891804058693,0.180573244293164
468,0.100706478248717,0.12944893490132,0.1650271039563,0.18554899279602,0.179859809283553
469,0.100924909026649,0.129675410405034,0.165094135443041,0.185203546789323,0.179145822608967
470,0.101145196447059,0.129903302862115,0.165160292794216,0.184855446401793,0.178431295086799
471,0.101367351501908,0.130132608578701,0.165225541635052,0.184504672303428,0.177716237806929
472,0.101858457308892,0.130848912741191,0.166032172991,0.184896937912025,0.17745846080355
473,0.102532661245679,0.131901550758616,0.167349626170593,0.185788900184934,0.177496226151239
474,0.103212721001096,0.132969892373922,0.16868764841059,0.186684576182122,0.177521736833109
475,0.103898650295322,0.134054288064235,0.170046722259619,0.187583795322159,0.177534626280387
476,0.104590459726118,0.135155098953107,0.171427345540934,0.188486374844032,0.177534520545011
477,0.105288156516595,0.136272697202492,0.172830031939311,0.189392119147812,0.17752103826832
478,0.105991744245912,0.13740746642107,0.174255311613847,0.190300819102079,0.17749379065806
479,0.106701222561777,0.138559802089661,0.175703731837897,0.191212251316547,0.177452381474352
480,0.10741658687354,0.139730112004479,0.177175857667478,0.192126177378328,0.177396407025274
481,0.108137828024593,0.140918816739011,0.178672272639486,0.193042343050176,0.177325456172741
482,0.108864931942702,0.142126350125332,0.180193579501172,0.193960477429028,0.177239110349415
483,0.109597879266804,0.143353159755707,0.181740400972382,0.194880292063102,0.177136943587378
484,0.110336644948717,0.144599707505367,0.183313380542121,0.195801480025758,0.177018522559341
485,0.111081197828084,0.145866470077351,0.1849131833011,0.196723714944298,0.176883406633204
486,0.111831500178795,0.147153939570373,0.186540496811967,0.197646649981819,0.176731147940786
487,0.112587507224981,0.148462624070679,0.188196032019028,0.19856991677022,0.176561291461584
