% Model,Mie (copy).mph
% Version,COMSOL 5.4.0.225
% Date,"Apr 26 2021, 11:30"
% Table,Table 3 - Global Evaluation 1 (sigma_abs/C_geo)
% lambda/n (3-10),lambda0 (1),sigma_abs/C_geo (1)
169.99999999999997,5.1E-7,0.17445332331205676
127.49999999999999,5.1E-7,0.1744255131211995
101.99999999999999,5.1E-7,0.17438976999818037
84.99999999999999,5.1E-7,0.17437887723514045
72.85714285714285,5.1E-7,0.17437432605801356
63.74999999999999,5.1E-7,0.17437196352017764
56.66666666666666,5.1E-7,0.17436957797352842
50.99999999999999,5.1E-7,0.1743687935765142
