% Model,Supported-Internal-p50.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 23:33"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% wlength (nm),Q_sca (15),Q_abs (15),Q_ext (15),Q_sca (38),Q_abs (38),Q_ext (38),Q_sca (42),Q_abs (42),Q_ext (42),Q_sca (75),Q_abs (75),Q_ext (75)
400,0.0106,0.69689000000000001,0.70748999999999995,0.016263,1.0633999999999999,1.0797000000000001,0.028079,1.8320000000000001,1.8601000000000001,0.0029090000000000001,0.19803999999999999,0.20094999999999999
410,0.0096786000000000007,0.68015000000000003,0.68983000000000005,0.014852000000000001,1.0379,1.0527,0.025649999999999999,1.7885,1.8142,0.0026651000000000001,0.19381999999999999,0.19647999999999999
419.99999999999994,0.0088436999999999995,0.66351000000000004,0.67235999999999996,0.013568999999999999,1.0125,1.0261,0.023438000000000001,1.7453000000000001,1.7686999999999999,0.0024477000000000001,0.18956000000000001,0.19200999999999999
429.99999999999994,0.0080914999999999997,0.64880000000000004,0.65688999999999997,0.012404,0.99004000000000003,1.0024,0.021425,1.7070000000000001,1.7284999999999999,0.0022455999999999999,0.18578,0.18803
439.99999999999994,0.0074583999999999996,0.64624000000000004,0.65369999999999995,0.011435000000000001,0.98612999999999995,0.99756,0.019754000000000001,1.7007000000000001,1.7204999999999999,0.0020745,0.18537999999999999,0.18745000000000001
450,0.0070077000000000004,0.65022000000000002,0.65722999999999998,0.010744,0.99219999999999997,1.0028999999999999,0.018565000000000002,1.7116,1.7302,0.0019650000000000002,0.18679000000000001,0.18875
460,0.0064435999999999998,0.65044000000000002,0.65688000000000002,0.0098721999999999994,0.99251999999999996,1.0024,0.017059999999999999,1.7124999999999999,1.7296,0.0018044000000000001,0.18709999999999999,0.18890999999999999
470,0.0059259999999999998,0.65424000000000004,0.66015999999999997,0.0090744999999999992,0.99831000000000003,1.0074000000000001,0.015684,1.7229000000000001,1.7385999999999999,0.0016624000000000001,0.18842,0.19008
480,0.0056882,0.67730000000000001,0.68298999999999999,0.0087188000000000005,1.0335000000000001,1.0422,0.015076000000000001,1.784,1.7989999999999999,0.0016046999999999999,0.19524,0.19685
490,0.0058767999999999997,0.73087000000000002,0.73675000000000002,0.0090057000000000002,1.1152,1.1242000000000001,0.015579000000000001,1.9255,1.9411,0.0016613999999999999,0.21092,0.21257999999999999
500,0.0068304999999999998,0.82418000000000002,0.83101000000000003,0.010461,1.2576000000000001,1.2681,0.018099000000000001,2.1720999999999999,2.1901999999999999,0.0019418,0.2384,0.24034
505,0.0076928999999999999,0.88417999999999997,0.89187000000000005,0.011802,1.3492,1.361,0.020431000000000001,2.3308,2.3512,0.0021984999999999999,0.25628000000000001,0.25847999999999999
507.49999999999994,0.0081303,0.91395000000000004,0.92208000000000001,0.012479000000000001,1.3946000000000001,1.4071,0.021618999999999999,2.4096000000000002,2.4312,0.0023295,0.26526,0.26758999999999999
509.99999999999994,0.0088114000000000005,0.94245000000000001,0.95126999999999995,0.013509,1.4380999999999999,1.4516,0.023392,2.4851999999999999,2.5085000000000002,0.0025217999999999998,0.27394000000000002,0.27645999999999998
509.99999999999994,0.0088114000000000005,0.94245000000000001,0.95126999999999995,0.013509,1.4380999999999999,1.4516,0.023392,2.4851999999999999,2.5085000000000002,0.0025217999999999998,0.27394000000000002,0.27645999999999998
512.5,0.0095201000000000001,0.96814999999999996,0.97767000000000004,0.014577,1.4773000000000001,1.4919,0.025231,2.5533000000000001,2.5785999999999998,0.0027290000000000001,0.28187000000000001,0.28460000000000002
515,0.010007,0.98709999999999998,0.99709999999999999,0.015339,1.5062,1.5216000000000001,0.026575000000000001,2.6038000000000001,2.6303000000000001,0.0028784000000000001,0.28788999999999998,0.29076000000000002
517.5,0.010782999999999999,0.99907000000000001,1.0099,0.016524,1.5245,1.5409999999999999,0.028611999999999999,2.6358000000000001,2.6644000000000001,0.0031104000000000001,0.29189999999999999,0.29502
519.99999999999989,0.011318,1.0017,1.0129999999999999,0.017326999999999999,1.5286,1.5459000000000001,0.029999999999999999,2.6433,2.6732999999999998,0.0032585000000000001,0.29320000000000002,0.29646
519.99999999999989,0.011318,1.0017,1.0129999999999999,0.017326999999999999,1.5286,1.5459000000000001,0.029999999999999999,2.6433,2.6732999999999998,0.0032585000000000001,0.29320000000000002,0.29646
522.5,0.011653,0.99378,1.0054000000000001,0.017847999999999999,1.5165,1.5343,0.030904999999999998,2.6227,2.6536,0.0033590999999999998,0.29137000000000002,0.29472999999999999
525,0.012021,0.97574000000000005,0.98775999999999997,0.018398000000000001,1.4888999999999999,1.5073000000000001,0.031847,2.5754999999999999,2.6073,0.0034638,0.28652,0.28998000000000002
527.5,0.012312,0.94843,0.96074000000000004,0.018839000000000002,1.4473,1.4661,0.032600999999999998,2.5036999999999998,2.5363000000000002,0.0035482000000000001,0.27889000000000003,0.28244000000000002
530,0.012662,0.91378999999999999,0.92645,0.019337,1.3944000000000001,1.4137999999999999,0.033418999999999997,2.4125000000000001,2.4460000000000002,0.0036489999999999999,0.26902999999999999,0.27267999999999998
530,0.012662,0.91378999999999999,0.92645,0.019337,1.3944000000000001,1.4137999999999999,0.033418999999999997,2.4125000000000001,2.4460000000000002,0.0036489999999999999,0.26902999999999999,0.27267999999999998
532.49999999999989,0.012231000000000001,0.87370000000000003,0.88593,0.018696999999999998,1.3331999999999999,1.3519000000000001,0.03236,2.3069000000000002,2.3393000000000002,0.0035341000000000001,0.25751000000000002,0.26105
535,0.012144,0.83033000000000001,0.84247000000000005,0.018564000000000001,1.2670999999999999,1.2856000000000001,0.032106999999999997,2.1926000000000001,2.2246999999999999,0.0035035000000000001,0.24496999999999999,0.24847
537.5,0.011958,0.78461999999999998,0.79657999999999995,0.018255,1.1973,1.2156,0.031560999999999999,2.0720000000000001,2.1036000000000001,0.003447,0.23168,0.23512
540,0.011657000000000001,0.74080999999999997,0.75246999999999997,0.017812999999999999,1.1305000000000001,1.1483000000000001,0.030789,1.9564999999999999,1.9873000000000001,0.0033666,0.21892,0.22228999999999999
540,0.011657000000000001,0.74080999999999997,0.75246999999999997,0.017812999999999999,1.1305000000000001,1.1483000000000001,0.030789,1.9564999999999999,1.9873000000000001,0.0033666,0.21892,0.22228999999999999
542.49999999999989,0.011407,0.69474000000000002,0.70615000000000006,0.017413999999999999,1.0602,1.0775999999999999,0.030093999999999999,1.8349,1.865,0.0032935,0.20543,0.20873
545,0.011046,0.65161999999999998,0.66266999999999998,0.016854999999999998,0.99436999999999998,1.0112000000000001,0.029132999999999999,1.7211000000000001,1.7502,0.0031895999999999999,0.1928,0.19599
547.5,0.010645999999999999,0.61033000000000004,0.62097999999999998,0.016202000000000001,0.93135000000000001,0.94755,0.027973999999999999,1.6121000000000001,1.6399999999999999,0.0030558999999999998,0.18068999999999999,0.18375
550,0.010418999999999999,0.57050999999999996,0.58092999999999995,0.015878,0.87058999999999997,0.88646999999999998,0.027404000000000001,1.5068999999999999,1.5343,0.0030025999999999998,0.16899,0.17199
550,0.010418999999999999,0.57050999999999996,0.58092999999999995,0.015878,0.87058999999999997,0.88646999999999998,0.027404000000000001,1.5068999999999999,1.5343,0.0030025999999999998,0.16899,0.17199
552.49999999999989,0.0098910999999999999,0.53286999999999995,0.54276000000000002,0.015077999999999999,0.81315000000000004,0.82823000000000002,0.026027999999999999,1.4076,1.4336,0.0028465000000000001,0.15792999999999999,0.16077
555,0.0096586999999999992,0.49719000000000002,0.50683999999999996,0.014727000000000001,0.75870000000000004,0.77342,0.025437000000000001,1.3132999999999999,1.3388,0.0027931000000000002,0.14742,0.15021000000000001
557.5,0.0093179999999999999,0.46331,0.47262999999999999,0.014175,0.70701000000000003,0.72118000000000004,0.024447,1.2239,1.2484,0.0026794000000000002,0.13744000000000001,0.14011999999999999
560,0.0089026999999999995,0.43187999999999999,0.44079000000000002,0.013557,0.65903999999999996,0.67259999999999998,0.023392,1.1409,1.1642999999999999,0.0025636999999999999,0.12817999999999999,0.13075000000000001
560,0.0089026999999999995,0.43187999999999999,0.44079000000000002,0.013557,0.65903999999999996,0.67259999999999998,0.023392,1.1409,1.1642999999999999,0.0025636999999999999,0.12817999999999999,0.13075000000000001
570,0.0076273000000000001,0.3231,0.33072000000000001,0.011598000000000001,0.49303000000000002,0.50463000000000002,0.019996,0.85358999999999996,0.87358999999999998,0.0021916000000000001,0.096068000000000001,0.098258999999999999
580,0.0065910999999999999,0.2417,0.24829000000000001,0.01001,0.36881999999999998,0.37883,0.017236000000000001,0.63858999999999999,0.65581999999999996,0.0018923,0.071997000000000005,0.073888999999999996
590,0.0056433999999999998,0.18254999999999999,0.18820000000000001,0.0085438000000000007,0.27856999999999998,0.28710999999999998,0.014697,0.48235,0.49703999999999998,0.0016105,0.054480000000000001,0.056090000000000001
