% Model,Supported-Internal-m50.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:31"
% Dimension,3
% Nodes,43019
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-210.41737317301906,-210.4173731730191,9.675262593480608E-7
-8.881784197001252E-16,-210.41737317301903,-206.00000000000006,1.118639456759101E-6
-8.881784197001252E-16,-205.99999999999997,-206,1.3071563211898728E-6
-8.881784197001252E-16,-214.83333333333337,-210.41737317301912,8.255453204413104E-7
0,-214.83333333333331,-206.00000000000006,9.656098465110354E-7
0,-214.83333333333334,-214.83333333333331,7.119105467769929E-7
0,-210.41737317301912,-214.83333333333337,8.265961178581384E-7
-8.881784197001252E-16,-206.00000000000006,-214.83333333333334,9.617053171041568E-7
-8.881784197001252E-16,-206.00000000000003,-210.41737317301906,1.1108000502070453E-6
0,-210.41737317301906,-219.2507065063524,7.303427085168554E-7
0,-214.83333333333331,-219.2507065063524,6.1565713743571E-7
0,-214.83333333333326,-223.66666666666669,5.194164091349622E-7
8.881784197001252E-16,-210.41737317301903,-223.66666666666666,6.185651602203126E-7
0,-206.00000000000006,-223.66666666666663,7.244409052005439E-7
-8.881784197001252E-16,-206.00000000000006,-219.25070650635237,8.430639759940803E-7
8.881784197001252E-16,-210.4173731730191,-228.08403983968572,5.722323209227585E-7
8.881784197001252E-16,-214.83333333333331,-228.08403983968577,4.730835698374081E-7
0,-214.83333333333334,-232.50000000000006,4.267388987957301E-7
-8.881784197001252E-16,-210.41737317301906,-232.50000000000003,5.261914629639093E-7
0,-206,-232.5,6.257558361546258E-7
-8.881784197001252E-16,-206.00000000000003,-228.08403983968572,6.751068732227329E-7
-8.881784197001252E-16,-219.2507065063524,-210.41737317301912,7.322531225966997E-7
0,-219.2507065063524,-206.00000000000006,8.476606725931387E-7
-8.881784197001252E-16,-223.66666666666669,-210.4173731730191,6.233712395850054E-7
0,-223.66666666666663,-206.00000000000006,7.297737807479696E-7
-8.881784197001252E-16,-223.66666666666669,-214.83333333333331,5.253755382331893E-7
0,-219.2507065063524,-214.83333333333331,6.186183489323823E-7
-8.881784197001252E-16,-219.2507065063524,-219.2507065063524,5.259741716686168E-7
-8.881784197001252E-16,-223.66666666666666,-219.2507065063524,4.3273136096942386E-7
0,-223.66666666666663,-223.66666666666669,3.4009530579321305E-7
-8.881784197001252E-16,-219.25070650635232,-223.66666666666669,4.2973344336786913E-7
0,-219.25070650635234,-228.08403983968577,3.72691301752185E-7
-8.881784197001252E-16,-223.66666666666663,-228.08403983968572,2.830531641775288E-7
0,-223.66666666666663,-232.50000000000003,2.2600472693934358E-7
-8.881784197001252E-16,-219.2507065063524,-232.50000000000006,3.2634663071050697E-7
8.881784197001252E-16,-228.08403983968572,-210.4173731730191,5.811271849373446E-7
0,-228.08403983968572,-206.00000000000003,6.8234894483042E-7
0,-232.5,-210.41737317301906,5.379289762089996E-7
-8.881784197001252E-16,-232.5,-206,6.349876678899469E-7
8.881784197001252E-16,-232.50000000000006,-214.83333333333331,4.4093521322047715E-7
0,-228.08403983968577,-214.83333333333331,4.831314835855287E-7
0,-228.08403983968577,-219.2507065063524,3.8210643426158427E-7
8.881784197001252E-16,-232.50000000000006,-219.2507065063524,3.399101638965327E-7
-8.881784197001252E-16,-232.5,-223.66666666666663,2.388853136667594E-7
0,-228.0840398396857,-223.66666666666663,2.8947037908537347E-7
8.881784197001252E-16,-228.08403983968572,-228.08403983968572,1.8649385301035855E-7
0,-232.50000000000006,-228.08403983968572,1.3590878759174447E-7
8.881784197001252E-16,-232.50000000000006,-232.50000000000006,3.2928159889794714E-8
-8.881784197001252E-16,-228.08403983968574,-232.50000000000006,1.2944541577217337E-7
0,-210.41737317301903,-183.91737317301912,2.363933963629228E-6
-8.881784197001252E-16,-210.41737317301903,-179.50000000000006,2.6711187982551318E-6
-8.881784197001252E-16,-205.99999999999997,-179.50000000000006,3.222598758459868E-6
8.881784197001252E-16,-214.83333333333331,-183.91737317301912,1.9148753881369662E-6
0,-214.83333333333331,-179.50000000000006,2.20041619448234E-6
0,-214.83333333333331,-188.33333333333337,1.6818175428299843E-6
8.881784197001252E-16,-210.41737317301906,-188.33333333333337,2.0087238321870308E-6
0,-206,-188.33333333333337,2.4010376941415635E-6
-8.881784197001252E-16,-206,-183.9173731730191,2.7650790878935597E-6
8.881784197001252E-16,-210.41737317301903,-192.75070650635246,1.8162216762936281E-6
0,-214.83333333333331,-192.75070650635246,1.4893153869365817E-6
0,-214.83333333333326,-197.1666666666667,1.2968749804611098E-6
8.881784197001252E-16,-210.41737317301903,-197.16666666666669,1.5212196536058915E-6
0,-206,-197.16666666666666,1.7957750444330563E-6
0,-206,-192.7507065063524,2.098358709635714E-6
0,-210.41737317301906,-201.58403983968577,1.3687642436036765E-6
8.881784197001252E-16,-214.8333333333333,-201.5840398396858,1.1444195704588948E-6
0,-206,-201.58403983968574,1.5750402008259074E-6
8.881784197001252E-16,-219.25070650635237,-183.9173731730191,1.6638847752151157E-6
0,-219.2507065063524,-179.5,1.8343109304459912E-6
8.881784197001252E-16,-223.66666666666663,-183.9173731730191,1.3153602993600485E-6
0,-223.66666666666663,-179.5,1.4683564071482322E-6
8.881784197001252E-16,-223.66666666666666,-188.33333333333334,1.1799503168759736E-6
0,-219.2507065063524,-188.33333333333337,1.4308269299081333E-6
0,-219.2507065063524,-192.7507065063524,1.3179978132661633E-6
8.881784197001252E-16,-223.66666666666663,-192.7507065063524,1.0671212002340036E-6
0,-223.6666666666666,-197.16666666666663,9.543229524608873E-7
0,-219.25070650635234,-197.16666666666669,1.1255574067906914E-6
8.881784197001252E-16,-219.25070650635234,-201.58403983968577,1.017467233936989E-6
