% Model,Supported-Internal-p25.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 23:33"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
wlength (nm),Q_sca (15),Q_abs (15),Q_ext (15),Q_sca (38),Q_abs (38),Q_ext (38),Q_sca (42),Q_abs (42),Q_ext (42),Q_sca (75),Q_abs (75),Q_ext (75)
400,0.013835,0.86975000000000002,0.88358999999999999,0.021284000000000001,1.327,1.3482000000000001,0.037138999999999998,2.3062,2.3433999999999999,0.0042430999999999996,0.27422999999999997,0.27848000000000001
410,0.012704,0.84941,0.86212,0.019526999999999999,1.2959000000000001,1.3154999999999999,0.034057999999999998,2.2526000000000002,2.2866,0.0039047000000000001,0.26790999999999998,0.27182000000000001
419.99999999999994,0.011589,0.82872000000000001,0.84031,0.017794999999999998,1.2644,1.2822,0.031019999999999999,2.1979000000000002,2.2288999999999999,0.0035504,0.26146000000000003,0.26501000000000002
429.99999999999994,0.010505,0.81039000000000005,0.82089000000000001,0.016156,1.2363999999999999,1.2525999999999999,0.028183,2.1495000000000002,2.1777000000000002,0.0032352000000000001,0.25569999999999998,0.25894
439.99999999999994,0.0097166000000000006,0.80701999999999996,0.81674000000000002,0.014938,1.2313000000000001,1.2462,0.026055999999999999,2.1406999999999998,2.1667999999999998,0.0029957,0.25458999999999998,0.25757999999999998
450,0.0091073999999999999,0.81079999999999997,0.81991000000000003,0.013986999999999999,1.2370000000000001,1.2509999999999999,0.024389999999999998,2.1509,2.1753,0.0028042000000000002,0.25568000000000002,0.25847999999999999
460,0.0084287000000000008,0.80923999999999996,0.81767000000000001,0.012936,1.2346999999999999,1.2476,0.022547999999999999,2.1469,2.1694,0.0025958000000000001,0.25507999999999997,0.25767000000000001
470,0.0077270000000000004,0.81162000000000001,0.81933999999999996,0.011864,1.2383,1.2502,0.02069,2.1533000000000002,2.1739000000000002,0.0023855,0.25568999999999997,0.25807999999999998
480,0.0073286999999999996,0.83791000000000004,0.84523999999999999,0.011273,1.2784,1.2897000000000001,0.019685999999999999,2.2231000000000001,2.2427999999999999,0.0022707999999999999,0.26379999999999998,0.26606999999999997
490,0.0077136000000000001,0.90420999999999996,0.91191999999999995,0.011838,1.3795999999999999,1.3914,0.020650999999999999,2.3992,2.4199000000000002,0.0023890000000000001,0.28454000000000002,0.28693000000000002
500,0.0091108999999999999,1.0265,1.0356000000000001,0.013975,1.5661,1.5801000000000001,0.024382999999999998,2.7241,2.7484999999999999,0.0028273999999999999,0.32318999999999998,0.32601000000000002
505,0.010373,1.1109,1.1212,0.015923,1.6949000000000001,1.7108000000000001,0.027785000000000001,2.9485000000000001,2.9762,0.0032347999999999999,0.35010999999999998,0.35333999999999999
507.49999999999994,0.011220000000000001,1.1561999999999999,1.1675,0.01721,1.7641,1.7813000000000001,0.030025,3.0691999999999999,3.0992000000000002,0.0034933,0.36469000000000001,0.36818000000000001
509.99999999999994,0.011998,1.2023999999999999,1.2143999999999999,0.018419999999999999,1.8345,1.8529,0.032147000000000002,3.1920999999999999,3.2242000000000002,0.0037483999999999998,0.37958999999999998,0.38334000000000001
509.99999999999994,0.011998,1.2023999999999999,1.2143999999999999,0.018419999999999999,1.8345,1.8529,0.032147000000000002,3.1920999999999999,3.2242000000000002,0.0037483999999999998,0.37958999999999998,0.38334000000000001
