% Model,Supported-Internal-s.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 12 2022, 21:10"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 5 (Q_sca, Q_abs, Q_ext)"
wlength (nm),Q_sca (15),Q_abs (15),Q_ext (15),Q_sca (38),Q_abs (38),Q_ext (38),Q_sca (42),Q_abs (42),Q_ext (42),Q_sca (75),Q_abs (75),Q_ext (75)
400,0.0066954634743056915,0.46819129977741092,0.47488676325171664,0.010213936329542154,0.7143419976119425,0.72455593394148465,0.017246989174598232,1.2056954063962328,1.2229423955708312,0.001453936402985399,0.10447148362665616,0.10592542002964156
410,0.0061186671833820894,0.45627742513081515,0.46239609231419726,0.0093430385786655995,0.69616441222574443,0.70550745080441002,0.01578482788419764,1.1759510782606368,1.1917359061448345,0.0013446251188794966,0.10266412535643721,0.1040087504753167
419.99999999999994,0.0055970079429000239,0.44478568072517605,0.45038268866807607,0.0085491318032888206,0.67862981802089295,0.68717894982418182,0.014461647270682037,1.1471997375164067,1.1616613847870887,0.0012436474938373597,0.100874567792407,0.10211821528624436
429.99999999999994,0.0050717976828858133,0.4353653070888403,0.4404371047717261,0.0077414174997233274,0.6642543210992522,0.67199573859897554,0.013103672587528386,1.1237069185583994,1.1368105911459279,0.001135532874656283,0.099471832201277505,0.10060736507593379
439.99999999999994,0.0046888050673245486,0.43406518390469584,0.43875398897202039,0.007157048149615269,0.66226947427802674,0.669426522427642,0.012125977665276221,1.1211112473322666,1.1332372249975429,0.0010605518902543495,0.09980247792333849,0.10086302981359284
450,0.0043800318577269948,0.4376394495482866,0.4420194814060136,0.0066901059562988821,0.66772115926613818,0.67441126522243711,0.011340783662098983,1.1310842022959851,1.1424249859580839,0.0010011206968340437,0.10121671455248095,0.10221783524931499
460,0.0040374985684588308,0.43991701716542098,0.44395451573387978,0.006167451737335604,0.67119468986503172,0.6773621416023673,0.010459684486647873,1.1376688378059512,1.148128522292599,0.00093087335020257769,0.10231983829341737,0.10325071164361994
470,0.0037446165699272197,0.44525815749250314,0.44900277406243033,0.0057158004530216359,0.67934139583028852,0.68505719628331019,0.0097010798572312509,1.1521674088370579,1.1618684886942892,0.00086602067808257566,0.10412948450684857,0.10499550518493114
480,0.0035826450521813263,0.46260504355079712,0.46618768860297843,0.0054736436466163068,0.70580652265040988,0.71128016629702617,0.0092957699844930103,1.1977341144112519,1.207029884395745,0.00083517524777171261,0.10869326745451603,0.10952844270228775
490,0.0036200445702214913,0.49748507043574058,0.50110511500596211,0.0055334738867741312,0.7590228639976222,0.76455633788439636,0.0094101117534953049,1.2887611735862872,1.2981712853397824,0.00085318430582447175,0.11738310682884505,0.11823629113466952
500,0.0040583722773589476,0.5471961134131319,0.55125448569049085,0.0062020763096266793,0.83486873187804944,0.8410708081876761,0.010553661381539415,1.4183544095071943,1.4289080708887336,0.00096280790601191565,0.12968865907193444,0.13065146697794636
502.5,0.0042437847120747867,0.5594878472832554,0.56373163199533016,0.0064779668931744232,0.85362347423230323,0.86010144112547759,0.011013615007807755,1.4504294801677569,1.4614430951755646,0.0010012295836503652,0.13276283246468856,0.13376406204833893
505,0.0043899015607185184,0.57022548176835752,0.57461538332907602,0.0067206581941315815,0.87000760199127503,0.87672826018540662,0.011442708012552908,1.4784913968311755,1.4899341048437285,0.0010447741372437615,0.13548857529051522,0.13653334942775899
507.49999999999994,0.004641891567772745,0.57814852054186361,0.58279041210963634,0.0071009548425959735,0.88209641154070662,0.8891973663833026,0.012098616921447557,1.4992414698759218,1.5113400867973694,0.0011107699567914531,0.13753449249628516,0.13864526245307662
509.99999999999994,0.0048280993360426223,0.58268702413875684,0.58751512347479951,0.007385253338476009,0.88902352289174114,0.8964087762302172,0.012577022134249199,1.5112648364288945,1.5238418585631437,0.0011523907954301253,0.13883787579040036,0.13999026658583047
512.5,0.0050129361555837871,0.58196989420037271,0.58698283035595644,0.0076704946533970629,0.88793113773459287,0.89560163238798995,0.013067293976199733,1.5096325319070047,1.5226998258832045,0.0011970852360816122,0.13886972302641795,0.14006680826249956
515,0.0052586205663109108,0.57560025144640514,0.58085887201271602,0.0080497793670538473,0.87821522948319863,0.8862650088502525,0.013716620393616437,1.4933366484671733,1.5070532688607898,0.0012607863876522333,0.13756129860175773,0.13882208498940996
517.5,0.0054119399670073936,0.56340420962298488,0.56881614958999227,0.008285049682551008,0.85960864163712292,0.86789369131967398,0.014123750259139815,1.461903762239704,1.4760275124988438,0.0013012761807087271,0.13484915902212488,0.1361504352028336
519.99999999999989,0.0055126035758698462,0.54619949987672201,0.55171210345259181,0.0084235647443012419,0.8333608926147662,0.84178445735906748,0.014354756621615167,1.4174819934931138,1.4318367501147289,0.0013187652034422797,0.13095790976096761,0.1322766749644099
522.5,0.0055542803097126349,0.52409822285940033,0.52965250316911294,0.0085056543248657294,0.79964195469852128,0.808147609023387,0.014514665085453267,1.3603188993860533,1.3748335644715066,0.0013406533514120681,0.12586470673663933,0.12720536008805139
525,0.0056295506094055214,0.49889419369615984,0.50452374430556535,0.0086066538452353285,0.76118787468713289,0.76979452853236818,0.014658773669304946,1.2950748508431218,1.3097336245124267,0.0013509491299350824,0.12000631404364018,0.12135726317357526
527.5,0.0055734679130968624,0.47190597776091181,0.47747944567400868,0.008514693430753846,0.72001170307632911,0.72852639650708295,0.014504052115245155,1.2251817443078703,1.2396857964231154,0.001335835377995439,0.11370572620992254,0.11504156158791798
530,0.0055350244748866469,0.44403510418438163,0.44957012865926826,0.0084679415322639687,0.67748832291323025,0.68595626444549418,0.014434641983680371,1.152965888896724,1.1674005308804043,0.0013381582108411623,0.10716302071544979,0.10850117892629095
540,0.0049446257854514298,0.34074163087286707,0.34568625665831848,0.0075829030446620252,0.51988816345162314,0.52747106649628517,0.01296000138102609,0.88517576416959298,0.89813576555061903,0.0012077816491507483,0.082775577866450539,0.083983359515601291
550,0.0043780040619855907,0.26017500129129911,0.26455300535328469,0.0066954180689718402,0.39696269882263863,0.40365811689161046,0.011425200805249201,0.6761755929979798,0.68760079380322903,0.0010650952698554226,0.063616895540594465,0.064681990810449883
560,0.0038125946078422443,0.19847251457610612,0.20228510918394838,0.0058413541935957271,0.30281926553411093,0.30866061972770664,0.0099892203700509483,0.51602908764499777,0.52601830801504867,0.00093638721904349277,0.048843446495209421,0.049779833714252916
570,0.0033533475975564861,0.15098879531182435,0.15434214290938084,0.0051551674768317169,0.23037041533357561,0.23552558281040734,0.0088385675188883822,0.39272787919664892,0.40156644671553732,0.00083375315471529332,0.03739924965268019,0.038233002807395486
580,0.0029556639851027063,0.11537947098068677,0.11833513496578947,0.0045413295579942552,0.17603933326397445,0.18058066282196869,0.0077848671235766376,0.30022355385957078,0.3080084209831474,0.00073702187338252562,0.028768559469054978,0.029505581342437505
590,0.0026066482091020747,0.089393214756867082,0.091999862965969154,0.0040134447405343766,0.13639068304156665,0.14040412778210104,0.0068851041031513238,0.23269377637421995,0.23957888047737128,0.00065500835013271265,0.022441264361941854,0.023096272712074567
600,0.0023122010900554742,0.070744377900871083,0.07305657899092656,0.0035504829394339527,0.10793719399015772,0.11148767692959168,0.0060886797765504303,0.18421850345022328,0.1903071832267737,0.00058097403922328093,0.01788399672431451,0.018464970763537793
