% Model,Supported-Internal-00.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 23:32"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
wlength (nm),Q_sca (15),Q_abs (15),Q_ext (15),Q_sca (38),Q_abs (38),Q_ext (38),Q_sca (42),Q_abs (42),Q_ext (42),Q_sca (75,Q_abs (75),Q_ext (75)
400,0.017892000000000002,1.0519000000000001,1.0698000000000001,0.027501000000000001,1.6045,1.6319999999999999,0.048370000000000003,2.8107000000000002,2.8591000000000002,0.0060584999999999996,0.36426999999999998,0.37032999999999999
410,0.016337000000000001,1.0282,1.0446,0.025111000000000001,1.5684,1.5934999999999999,0.044158999999999997,2.7473999999999998,2.7915000000000001,0.0055325000000000001,0.35542000000000001,0.36094999999999999
419.99999999999994,0.014988,1.0037,1.0186999999999999,0.023019999999999999,1.5309999999999999,1.554,0.040454999999999998,2.6816,2.7221000000000002,0.0050609000000000001,0.3463,0.35136000000000001
429.99999999999994,0.013742000000000001,0.98131999999999997,0.99505999999999994,0.021076999999999999,1.4968999999999999,1.518,0.037009,2.6215999999999999,2.6585999999999999,0.0046318000000000002,0.33794999999999997,0.34258
439.99999999999994,0.012635,0.97665999999999997,0.98929999999999996,0.019415999999999999,1.4898,1.5092000000000001,0.034114999999999999,2.609,2.6431,0.0042618999999999999,0.33566000000000001,0.33992
450,0.011808000000000001,0.98058999999999996,0.99239999999999995,0.018121000000000002,1.4958,1.514,0.031822000000000003,2.6193,2.6511,0.0039728000000000003,0.33628999999999998,0.34026000000000001
460,0.01085,0.97682999999999998,0.98768,0.016653999999999999,1.4901,1.5067999999999999,0.029248,2.609,2.6381999999999999,0.0036484,0.33431,0.33795999999999998
470,0.0099918000000000003,0.97745000000000004,0.98745000000000005,0.015341,1.4911000000000001,1.5064,0.026942000000000001,2.6103999999999998,2.6374,0.0033598999999999999,0.33383000000000002,0.33718999999999999
480,0.0096664999999999997,1.0066999999999999,1.0164,0.014843,1.5358000000000001,1.5506,0.026064,2.6884000000000001,2.7145000000000001,0.0032496000000000001,0.34310000000000002,0.34634999999999999
490,0.010107,1.0849,1.095,0.015480000000000001,1.655,1.6705000000000001,0.027161999999999999,2.8969999999999998,2.9241000000000001,0.0033790999999999999,0.36899999999999999,0.37237999999999999
500,0.012004000000000001,1.236,1.248,0.018412000000000001,1.8855,1.9038999999999999,0.032315000000000003,3.3005,3.3328000000000002,0.0040341999999999999,0.41987999999999998,0.42391000000000001
505,0.013599999999999999,1.3449,1.3585,0.020874,2.0516999999999999,2.0726,0.036667999999999999,3.5914999999999999,3.6282000000000001,0.0045843999999999998,0.45689000000000002,0.46148
507.49999999999994,0.014761,1.4060999999999999,1.4209000000000001,0.022655000000000002,2.145,2.1677,0.039794000000000003,3.7549999999999999,3.7948,0.0049746,0.47776999999999997,0.48275000000000001
509.99999999999994,0.016142,1.4697,1.4858,0.024778000000000001,2.242,2.2667999999999999,0.043526000000000002,3.9251,3.9685999999999999,0.0054447000000000002,0.49954999999999999,0.50499000000000005
509.99999999999994,0.016142,1.4697,1.4858,0.024778000000000001,2.242,2.2667999999999999,0.043526000000000002,3.9251,3.9685999999999999,0.0054447000000000002,0.49954999999999999,0.50499000000000005
512.5,0.017464,1.5338000000000001,1.5511999999999999,0.02681,2.3397999999999999,2.3666,0.047101999999999998,4.0964,4.1435000000000004,0.0058970000000000003,0.52156000000000002,0.52746000000000004
515,0.019303000000000001,1.5952999999999999,1.6146,0.029586999999999999,2.4336000000000002,2.4632000000000001,0.051927000000000001,4.2610000000000001,4.3129,0.0064999000000000003,0.54278000000000004,0.54927999999999999
517.5,0.020518999999999999,1.6500999999999999,1.6706000000000001,0.031487000000000001,2.5171000000000001,2.5486,0.055329999999999997,4.4074999999999998,4.4629000000000003,0.0069398000000000003,0.56174999999999997,0.56869000000000003
519.99999999999989,0.022547000000000001,1.6946000000000001,1.7171000000000001,0.034555000000000002,2.585,2.6196000000000002,0.060665999999999998,4.5267999999999997,4.5875000000000004,0.0076086000000000001,0.57728000000000002,0.58487999999999996
519.99999999999989,0.022547000000000001,1.6946000000000001,1.7171000000000001,0.034555000000000002,2.585,2.6196000000000002,0.060665999999999998,4.5267999999999997,4.5875000000000004,0.0076086000000000001,0.57728000000000002,0.58487999999999996
522.5,0.024073000000000001,1.7229000000000001,1.7470000000000001,0.036898,2.6282999999999999,2.6650999999999998,0.064758999999999997,4.6028000000000002,4.6675000000000004,0.0081311000000000005,0.58726999999999996,0.59540000000000004
525,0.025389999999999999,1.734,1.7594000000000001,0.038878999999999997,2.6450999999999998,2.6840000000000002,0.068217,4.6326000000000001,4.7008000000000001,0.0085640000000000004,0.59136999999999995,0.59994000000000003
527.5,0.026284999999999999,1.7261,1.7524,0.040271000000000001,2.633,2.6732999999999998,0.070680999999999994,4.6116000000000001,4.6822999999999997,0.0088803000000000007,0.58892999999999995,0.59780999999999995
530,0.026818999999999999,1.6999,1.7266999999999999,0.041106999999999998,2.593,2.6341000000000001,0.072176000000000004,4.5416999999999996,4.6139000000000001,0.0090744999999999992,0.58018000000000003,0.58925000000000005
530,0.026818999999999999,1.6999,1.7266999999999999,0.041106999999999998,2.593,2.6341000000000001,0.072176000000000004,4.5416999999999996,4.6139000000000001,0.0090744999999999992,0.58018000000000003,0.58925000000000005
532.49999999999989,0.027317000000000001,1.6577,1.6850000000000001,0.041849999999999998,2.5287000000000002,2.5705,0.073430999999999996,4.4291,4.5026000000000002,0.0092321999999999994,0.56593000000000004,0.57516
