% Model,Supported-Internal-m50.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 23:31"
% Table,"Table: Table 5 - Global Evaluation: Global Evaluation 1 (Q_sca, Q_abs, Q_ext)"
% theta_i (deg),wlength (nm),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1),Q_sca (1),Q_abs (1),Q_ext (1)
14.999999999999998,400,0.02618056894061609,1.3692300719875772,1.3954106409281932,0.02618056894061609,1.3692300719875772,1.3954106409281932,0.02618056894061609,1.3692300719875772,1.3954106409281932,0.02618056894061609,1.3692300719875772,1.3954106409281932
14.999999999999998,410,0.024036503181114565,1.3414124885193048,1.3654489917004193,0.024036503181114565,1.3414124885193048,1.3654489917004193,0.024036503181114565,1.3414124885193048,1.3654489917004193,0.024036503181114565,1.3414124885193048,1.3654489917004193
14.999999999999998,419.99999999999994,0.02189851467299909,1.3111617100575936,1.3330602247305927,0.02189851467299909,1.3111617100575936,1.3330602247305927,0.02189851467299909,1.3111617100575936,1.3330602247305927,0.02189851467299909,1.3111617100575936,1.3330602247305927
14.999999999999998,429.99999999999994,0.0199694847279038,1.2827237196203227,1.3026932043482264,0.0199694847279038,1.2827237196203227,1.3026932043482264,0.0199694847279038,1.2827237196203227,1.3026932043482264,0.0199694847279038,1.2827237196203227,1.3026932043482264
14.999999999999998,439.99999999999994,0.018460107857681183,1.276370021736191,1.2948301295938722,0.018460107857681183,1.276370021736191,1.2948301295938722,0.018460107857681183,1.276370021736191,1.2948301295938722,0.018460107857681183,1.276370021736191,1.2948301295938722
14.999999999999998,450,0.0172058547012853,1.2797319585913214,1.2969378132926066,0.0172058547012853,1.2797319585913214,1.2969378132926066,0.0172058547012853,1.2797319585913214,1.2969378132926066,0.0172058547012853,1.2797319585913214,1.2969378132926066
14.999999999999998,460,0.015862095498619975,1.2717408883011887,1.2876029837998086,0.015862095498619975,1.2717408883011887,1.2876029837998086,0.015862095498619975,1.2717408883011887,1.2876029837998086,0.015862095498619975,1.2717408883011887,1.2876029837998086
14.999999999999998,470,0.014540123399750162,1.2684350804930657,1.282975203892816,0.014540123399750162,1.2684350804930657,1.282975203892816,0.014540123399750162,1.2684350804930657,1.282975203892816,0.014540123399750162,1.2684350804930657,1.282975203892816
14.999999999999998,480,0.013998047528210503,1.3015350072692444,1.3155330547974549,0.013998047528210503,1.3015350072692444,1.3155330547974549,0.013998047528210503,1.3015350072692444,1.3155330547974549,0.013998047528210503,1.3015350072692444,1.3155330547974549
14.999999999999998,490,0.014734446856870236,1.3982216720556684,1.4129561189125386,0.014734446856870236,1.3982216720556684,1.4129561189125386,0.014734446856870236,1.3982216720556684,1.4129561189125386,0.014734446856870236,1.3982216720556684,1.4129561189125386
14.999999999999998,500,0.017569436625373615,1.5953982894801912,1.6129677261055648,0.017569436625373615,1.5953982894801912,1.6129677261055648,0.017569436625373615,1.5953982894801912,1.6129677261055648,0.017569436625373615,1.5953982894801912,1.6129677261055648
14.999999999999998,505,0.02032983909094973,1.7448538268099072,1.7651836659008568,0.02032983909094973,1.7448538268099072,1.7651836659008568,0.02032983909094973,1.7448538268099072,1.7651836659008568,0.02032983909094973,1.7448538268099072,1.7651836659008568
14.999999999999998,507.49999999999994,0.022246866296823087,1.8321349145640444,1.8543817808608676,0.022246866296823087,1.8321349145640444,1.8543817808608676,0.022246866296823087,1.8321349145640444,1.8543817808608676,0.022246866296823087,1.8321349145640444,1.8543817808608676
14.999999999999998,509.99999999999994,0.024363591307262556,1.9262813680593125,1.9506449593665751,0.024363591307262556,1.9262813680593125,1.9506449593665751,0.024363591307262556,1.9262813680593125,1.9506449593665751,0.024363591307262556,1.9262813680593125,1.9506449593665751
14.999999999999998,509.99999999999994,0.024363591307267816,1.92628136805937,1.9506449593666377,0.024363591307267816,1.92628136805937,1.9506449593666377,0.024363591307267816,1.92628136805937,1.9506449593666377,0.024363591307267816,1.92628136805937,1.9506449593666377
14.999999999999998,512.5,0.02679199782309279,2.0258309827294454,2.0526229805525382,0.02679199782309279,2.0258309827294454,2.0526229805525382,0.02679199782309279,2.0258309827294454,2.0526229805525382,0.02679199782309279,2.0258309827294454,2.0526229805525382
14.999999999999998,515,0.0295214097281032,2.126790066811094,2.1563114765391975,0.0295214097281032,2.126790066811094,2.1563114765391975,0.0295214097281032,2.126790066811094,2.1563114765391975,0.0295214097281032,2.126790066811094,2.1563114765391975
14.999999999999998,517.5,0.032481507913295564,2.2253765839501236,2.2578580918634192,0.032481507913295564,2.2253765839501236,2.2578580918634192,0.032481507913295564,2.2253765839501236,2.2578580918634192,0.032481507913295564,2.2253765839501236,2.2578580918634192
14.999999999999998,519.9999999999999,0.03558303786112646,2.315756438906572,2.3513394767676985,0.03558303786112646,2.315756438906572,2.3513394767676985,0.03558303786112646,2.315756438906572,2.3513394767676985,0.03558303786112646,2.315756438906572,2.3513394767676985
14.999999999999998,519.9999999999999,0.03558303786112408,2.3157564389065786,2.3513394767677025,0.03558303786112408,2.3157564389065786,2.3513394767677025,0.03558303786112408,2.3157564389065786,2.3513394767677025,0.03558303786112408,2.3157564389065786,2.3513394767677025
14.999999999999998,522.5,0.03831657533414582,2.3907207157093913,2.429037291043537,0.03831657533414582,2.3907207157093913,2.429037291043537,0.03831657533414582,2.3907207157093913,2.429037291043537,0.03831657533414582,2.3907207157093913,2.429037291043537
