% Model,Supported-Internal-m25.mph
% Version,COMSOL 5.4.0.225
% Date,"Aug 14 2022, 23:12"
% Dimension,3
% Nodes,31931
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
-1.1262941542591425E-15,-6.1312598051036025,-7.767957151920372,2.2968976931457594
-1.3877787807814457E-17,-6.446126980962567,-8.619713823806674,1.8748308554483955
-1.3877787807814457E-17,-6.640091288843645,-8.510572711805812,1.889950452159783
-1.2694227540763615E-15,-6.910415612404508,-7.291080725050804,2.4096469529079916
0,-7.2295450273164175,-8.149802003336656,1.9762315623232698
1.3877787807814457E-17,-7.414984857091605,-8.026731678536692,2.006753586167356
0,-6.75651871229333,-7.985343209461541,2.1087823505033154
-5.551115123125783E-17,-5.959856779040708,-8.433614183816555,1.9903213752812179
0,-6.602621812182152,-8.679605693872276,1.837961852665024
-1.3877787807814457E-17,-6.809480889661643,-8.758772378763666,1.7920915642867885
1.3877787807814457E-17,-7.337883399566569,-8.435367613617563,1.8422567948570632
2.7755575615628914E-17,-7.381777619483058,-8.20272926700271,1.9341912734596587
5.551115123125783E-17,-7.518168393642522,-7.47986133007742,2.234485777425829
-9.76733908108252E-16,-5.317091745899266,-8.187622673760837,2.1372530678005357
-1.4061197075599094E-15,-7.654559167801984,-6.756993393152133,2.553211881108552
0,-7.245386845323596,-8.925597203927996,1.671594964538532
0,-10.45017834607819,-4.904000311242021,2.6175817670123074
2.7755575615628914E-17,-10.408760371678952,-5.05172164447197,2.6033841834457387
2.7755575615628914E-17,-10.535314869833556,-5.081425616696887,2.552074473823943
0,-11.259252705874495,-4.94400411453587,2.3604618306153182
0,-11.184663443053392,-5.245345533951971,2.3136916688066496
8.326672684688674E-17,-11.437341207178317,-5.303850497317972,2.2140487204587624
-2.7755575615628914E-17,-10.66047602809713,-4.910095638690562,2.5469420493793336
0,-11.677545424103759,-4.95280473266998,2.225663609960455
-1.7679234244998978E-15,-9.624126867876216,-4.8514076139714,2.9035444679520808
2.7755575615628914E-17,-12.051124633008815,-4.971251948545083,2.1391379149156036
0,-11.95174070563934,-5.432206195390224,2.0563312248882895
-1.962752796675774E-15,-10.68472857122189,-3.3622285654742328,3.0490802879802907
-2.7755575615628914E-17,-10.974561655846191,-4.154643448944166,2.7041286515431797
-2.7755575615628914E-17,-11.068944366565013,-3.984564409616301,2.730942206361167
-1.8704753518064E-15,-10.182393558200877,-4.125226013299768,2.9580009364708735
0,-10.556074946822386,-4.742235979850809,2.641466630580939
