% Model,Supported-Internal-p50.mph
% Version,COMSOL 5.4.0.225
% Date,"Sep 20 2022, 00:36"
% Dimension,3
% Nodes,42520
% Expressions,1
% Description,Multislice
% X,Y,Z,Color
0,-208.33333333333337,-208.33333333333334,4.7631354975523116E-7
0,-208.33333333333331,-203.99999999999994,5.486688222938644E-7
0,-203.99999999999994,-203.99999999999994,6.435758495832629E-7
8.881784197001252E-16,-212.66666666666663,-208.33333333333337,4.0493997679411995E-7
8.881784197001252E-16,-212.6666666666666,-204,4.7207111812749264E-7
8.881784197001252E-16,-212.66666666666669,-212.66666666666666,3.50431141850072E-7
0,-208.33333333333337,-212.66666666666663,4.0836479752124943E-7
0,-204,-212.6666666666666,4.7674994787953916E-7
-8.881784197001252E-16,-203.99999999999997,-208.33333333333331,5.489468282806453E-7
1.7763568394002505E-15,-208.33333333333337,-217,3.6255684406136047E-7
0,-212.66666666666666,-217.00000000000006,3.0462318839018314E-7
0,-212.66666666666663,-221.33333333333334,2.588033694403977E-7
8.881784197001252E-16,-208.33333333333331,-221.3333333333333,3.08955185927107E-7
-8.881784197001252E-16,-203.99999999999991,-221.33333333333326,3.6250532711507077E-7
0,-203.99999999999994,-217,4.1963365141456594E-7
8.881784197001252E-16,-208.33333333333331,-225.66666666666666,2.870866460964176E-7
8.881784197001252E-16,-212.6666666666666,-225.66666666666669,2.3693482960970828E-7
0,-212.66666666666657,-229.99999999999994,2.150512496788387E-7
8.881784197001252E-16,-208.3333333333333,-229.99999999999994,2.650123043068159E-7
8.881784197001252E-16,-203.9999999999999,-229.99999999999994,3.150157522317262E-7
-8.881784197001252E-16,-203.9999999999999,-225.66666666666663,3.38769333047347E-7
-8.881784197001252E-16,-217,-208.33333333333337,3.575537821573479E-7
-8.881784197001252E-16,-217,-204,4.129046271711602E-7
-8.881784197001252E-16,-221.3333333333333,-208.33333333333331,3.0269236595443214E-7
-8.881784197001252E-16,-221.33333333333326,-203.99999999999994,3.5375388960617757E-7
0,-221.33333333333331,-212.66666666666663,2.5567197042673203E-7
-8.881784197001252E-16,-217.00000000000006,-212.66666666666663,3.0304494721329993E-7
0,-217.00000000000003,-217.00000000000006,2.5893504282901177E-7
0,-221.33333333333326,-217.00000000000003,2.1156206604244387E-7
0,-221.33333333333326,-221.33333333333331,1.674381436848439E-7
0,-217,-221.33333333333331,2.131152238792263E-7
8.881784197001252E-16,-217,-225.66666666666669,1.864461411165583E-7
8.881784197001252E-16,-221.33333333333326,-225.66666666666669,1.407690609221759E-7
8.881784197001252E-16,-221.33333333333326,-229.99999999999994,1.1408513368997643E-7
0,-217,-229.99999999999994,1.6456256118568867E-7
0,-225.66666666666666,-208.33333333333337,2.812942464420754E-7
8.881784197001252E-16,-225.66666666666663,-203.99999999999994,3.3032386548881287E-7
0,-229.99999999999994,-208.33333333333337,2.599021461715265E-7
0,-229.99999999999994,-203.99999999999994,3.069208447391277E-7
0,-229.99999999999994,-212.66666666666666,2.1289587711991817E-7
-8.881784197001252E-16,-225.66666666666669,-212.66666666666666,2.342738509143753E-7
0,-225.66666666666666,-217.00000000000003,1.8540525582699086E-7
0,-229.99999999999994,-217.00000000000006,1.640272820325337E-7
8.881784197001252E-16,-229.99999999999994,-221.33333333333331,1.1513978479284965E-7
